Country,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2019,2020-2020,2021-2021,2022-2022,2023-2023
Kyrgyzstan,75000.0,115500.0,,,,770.0,770.0,,4000.0,4000.0
Serbia,225000.0,225000.0,97000.0,,,,,,195000.0,194000.0
Türkiye,1000000.0,1000000.0,954000.0,1031000.0,1105000.0,1099000.0,1099000.0,1099000.0,1099000.0,1099000.0
Colombia,5056000.0,5368000.0,5872000.0,6758000.0,6135000.0,5576000.0,4922000.0,5235000.0,4766000.0,5077000.0
New Caledonia,,,,,,,140.0,150.0,150.0,150.0
Egypt,,,4100.0,9100.0,19600.0,3200.0,3200.0,,,
Eritrea,10000.0,10000.0,10000.0,,,,,,,
Philippines,70000.0,46000.0,97000.0,74500.0,373000.0,182000.0,153000.0,108000.0,102000.0,113000.0
Somalia,1500000.0,1404500.0,1103500.0,1165000.0,1736500.0,2648000.0,2968000.0,2968000.0,3864000.0,3862000.0
"Bolivia, Plurinational State of",,,,,,31.0,,,,
Honduras,,,29000.0,182000.0,190000.0,247000.0,247000.0,247000.0,247000.0,101000.0
Iraq,2782000.0,2350000.0,2688000.0,3162500.0,2289000.0,1533000.0,1224000.0,1187000.0,1169000.0,1124000.0
Solomon Islands,,,,,,,,1000.0,1000.0,1000.0
Pakistan,1105000.0,829000.0,1323500.0,961500.0,183000.0,105000.0,100000.0,104000.0,18000.0,23000.0
Cyprus,204500.0,209000.0,212000.0,272000.0,222500.0,228000.0,228000.0,242000.0,246000.0,248000.0
