Country,1970-1975,1976-1981,1982-1987,1988-1993,1994-1999,2000-2005,2006-2011,2012-2017,2018-2023
"Korea, Democratic People's Republic of",,,,,0.0,0.0,0.0,0.0,0.0
Somalia,0.0,0.0,0.0,0.0,66933.83,69666.67,1174637.5,1368537.0,3009766.67
Montenegro,,,,,,,5391.83,0.0,0.0
Palau,,,,,,,0.0,0.0,0.0
Bahamas,,,,0.0,0.0,0.0,0.0,0.0,0.0
Kuwait,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timor-Leste,,,,,0.0,0.0,38952.67,0.0,0.0
Croatia,,,,172000.0,142147.0,16591.0,2292.5,0.0,0.0
Mali,0.0,0.0,0.0,0.0,500.0,0.0,0.0,119891.67,294431.17
Uzbekistan,,,,0.0,0.0,0.0,0.0,0.0,0.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,0.0,0.0,0.0,0.0,0.0,1239845.33,3310723.67,6230548.33,7422098.83
United Arab Emirates,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovakia,,,,0.0,0.0,0.0,0.0,0.0,0.0
Malta,,,,0.0,0.0,0.0,0.0,0.0,0.0
Russian Federation,0.0,0.0,0.0,0.0,231222.83,363115.5,103909.17,0.0,0.0
