Country,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2017,2018-2020
Slovakia,,,,,12069500.0,15906000.0,15299000.0
Guam,1313500.0,1166750.0,1127500.0,1154250.0,1286250.0,1496666.67,1181333.33
Serbia,,312000.0,413250.0,667500.0,881250.0,1303333.33,1334666.67
Turks and Caicos Islands,,,,840333.33,1094250.0,1285000.0,1144133.33
Latvia,1753250.0,1994500.0,3522750.0,5118500.0,5793750.0,7121666.67,6440333.33
Burundi,21750.0,41250.0,142250.0,187000.0,190000.0,205666.67,
"Iran, Islamic Republic of",699250.0,1412500.0,1957250.0,2326750.0,4231250.0,5015333.33,5984000.0
Timor-Leste,,,14000.0,35500.0,62000.0,67033.33,74700.0
Papua New Guinea,,,,130666.67,178250.0,193000.0,148333.33
Indonesia,4787250.0,4994500.0,4915250.0,6266750.0,8482750.0,11988666.67,11990000.0
Cabo Verde,40500.0,110500.0,186750.0,293750.0,476750.0,595333.33,549333.33
"Moldova, Republic of",25250.0,16500.0,55000.0,66750.0,88375.0,120133.33,121000.0
Georgia,208000.0,342750.0,556000.0,1468500.0,4194000.0,5710666.67,5480666.67
Dominica,268750.0,269000.0,391500.0,527000.0,361750.0,314666.67,220333.33
"Bolivia, Plurinational State of",334750.0,327750.0,488000.0,611250.0,794500.0,984000.0,901433.33
Zambia,282500.0,479500.0,588500.0,808500.0,910250.0,965666.67,946666.67
Madagascar,115000.0,,,,,300000.0,311033.33
Spain,59505000.0,75374250.0,89255500.0,95555000.0,101922500.0,115704000.0,95678666.67
