Country,1995-1997,1998-2000,2001-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020
Saint Vincent and the Grenadines,,,,,,,,,69.71,73.75,72.63,61.81
Kiribati,,,,,,,,,,,17.56,
North Macedonia,3.19,6.03,5.2,6.39,5.83,6.11,6.63,5.26,5.63,5.33,5.19,4.33
Benin,11.3,13.97,16.04,15.24,13.35,14.86,9.03,10.68,6.38,4.73,4.69,6.72
Sudan,1.0,0.28,2.68,0.6,2.78,3.13,1.7,8.34,14.42,20.57,19.19,
Macao,,,64.41,70.95,71.29,79.52,90.73,93.41,92.99,89.8,90.55,75.49
Luxembourg,,,7.99,7.85,6.13,5.46,5.68,5.32,4.85,5.02,4.19,3.44
New Caledonia,,,,,,14.9,13.93,13.6,13.98,13.56,,
Uzbekistan,,,,,,,,,5.11,5.65,8.01,6.29
Djibouti,2.45,4.15,3.97,2.72,2.83,2.18,4.14,4.53,0.68,1.06,1.06,
Kenya,23.54,24.67,16.88,17.9,19.0,19.15,16.63,18.19,16.09,14.95,15.2,15.36
Israel,12.1,11.18,6.61,5.59,6.19,6.21,7.02,6.52,6.64,6.93,7.22,4.79
Russian Federation,,,4.41,3.8,2.91,3.1,3.3,2.99,3.43,3.61,3.66,2.44
Saint Lucia,66.08,72.6,66.67,69.37,66.21,45.19,41.55,42.12,63.27,83.49,86.61,
Vanuatu,,44.9,52.47,59.17,59.08,66.48,72.43,73.11,77.6,82.52,79.82,70.53
