Country,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2017,2018-2020
Cambodia,77500000.0,337500000.0,706000000.0,1244000000.0,2540000000.0,3329333333.33,3386000000.0
South Africa,2611500000.0,2742250000.0,6965250000.0,8361000000.0,9523500000.0,8331666666.67,6662000000.0
Brazil,996000000.0,1791250000.0,3469500000.0,5326000000.0,6447500000.0,5892333333.33,4986666666.67
Côte d'Ivoire,92500000.0,63250000.0,81750000.0,142750000.0,179250000.0,311333333.33,352533335.37
Vanuatu,53500000.0,51500000.0,79000000.0,173750000.0,252000000.0,245333333.33,211666666.67
Russian Federation,6271500000.0,3691000000.0,5882500000.0,9871250000.0,11458500000.0,8384000000.0,8468666666.67
Namibia,298000000.0,195750000.0,367000000.0,382750000.0,313250000.0,343333333.33,282333333.33
China,10901500000.0,17126500000.0,26597500000.0,40891250000.0,48550000000.0,42653333333.33,30150333333.33
Yemen,64750000.0,52500000.0,160000000.0,842750000.0,898500000.0,100000000.0,
Norway,2186250000.0,2116000000.0,3191250000.0,4561750000.0,5492750000.0,5230333333.33,4527000000.0
Malta,644000000.0,607250000.0,752750000.0,1003000000.0,1364750000.0,1526333333.33,1388000000.0
Belarus,31250000.0,137500000.0,269000000.0,374250000.0,707750000.0,747000000.0,713000000.0
Estonia,463250000.0,529750000.0,888250000.0,1096000000.0,1508000000.0,1563000000.0,1369666666.67
Mauritania,17750000.0,28000000.0,,,42000000.0,27333333.33,6899999.94
Angola,9000000.0,22500000.0,69500000.0,440750000.0,1043750000.0,888666666.67,314666666.67
