Country,1967-1971,1972-1976,1977-1981,1982-1986,1987-1991,1992-1996,1997-2001,2002-2006,2007-2010,2011-2014,2015-2018,2019-2022
Puerto Rico,28.13,25.61,15.92,11.1,15.71,16.43,18.69,15.13,11.28,9.72,9.95,12.61
Slovakia,,,,,28.48,25.33,31.25,28.11,25.4,22.33,23.58,22.25
Switzerland,,,32.79,30.68,32.8,28.11,27.1,26.37,27.11,26.47,25.6,26.66
Finland,31.88,32.55,27.96,27.46,28.43,20.0,22.84,23.15,23.59,22.92,23.57,24.74
Timor-Leste,,,,,,,31.87,19.05,35.39,53.83,36.85,17.08
Equatorial Guinea,,,,,,,,32.99,33.64,33.05,16.98,10.89
French Polynesia,,,,,,,,23.41,22.08,18.67,21.37,22.76
Bhutan,,,32.65,41.41,34.52,42.43,41.34,58.29,46.05,59.84,55.23,43.18
Bahrain,,,43.87,37.0,23.06,19.27,15.81,24.95,30.77,25.83,30.72,31.11
Netherlands,28.81,24.37,22.89,21.11,23.79,22.08,22.86,20.66,21.66,18.8,21.13,21.65
Kenya,21.58,22.45,23.81,21.94,23.95,18.13,16.71,16.97,20.09,22.86,20.37,19.64
Malaysia,16.92,23.78,28.97,32.4,29.89,40.17,28.66,23.14,21.52,24.96,25.22,21.58
Cabo Verde,,,,,,,,,44.88,36.27,28.61,25.44
Cambodia,13.87,,,,,13.27,16.02,20.53,19.64,19.43,22.87,23.88
Belgium,29.11,27.61,25.63,19.54,22.44,21.99,22.75,22.41,23.96,23.44,24.44,25.53
Montenegro,,,,,,,22.91,18.49,31.16,19.94,27.08,30.03
Lebanon,,,,,30.29,33.64,24.73,20.9,26.03,26.05,22.41,8.59
Colombia,18.72,18.48,18.98,19.28,20.34,23.8,16.89,19.99,22.76,22.82,22.43,20.2
Brunei Darussalam,,,,,19.3,31.91,23.63,14.32,16.98,31.48,36.43,34.1
Niger,8.45,13.92,23.38,12.13,13.55,10.94,13.28,16.04,26.62,30.44,28.7,28.78
Uzbekistan,,,,,,24.8,19.52,24.82,29.34,28.05,29.61,40.11
Tunisia,22.65,25.7,30.48,31.58,24.23,26.56,25.21,23.11,24.83,24.72,21.62,16.06
Rwanda,7.66,11.4,14.63,16.06,14.45,14.03,13.13,14.06,19.92,22.96,24.06,25.53
Hungary,,,,,20.95,21.52,27.29,25.96,23.03,21.66,23.74,30.02
Afghanistan,5.81,9.21,13.14,,,,,,,,,12.25
France,27.97,,24.61,21.94,23.58,20.39,21.23,22.02,22.89,22.71,23.15,24.96
"Micronesia, Federated States of",,,,37.75,,,,,,,,
Samoa,,,,,,,,,33.69,37.8,34.16,34.14
