Country,1991-1996,1997-2002,2003-2008,2009-2013,2014-2018,2019-2023
Oman,49.07,47.51,49.56,53.66,57.16,56.05
Bahamas,64.4,63.22,62.96,64.2,64.34,60.15
Croatia,48.21,45.8,42.8,38.03,39.38,38.38
"Congo, The Democratic Republic of the",39.35,39.51,38.84,33.91,32.67,31.63
"Iran, Islamic Republic of",55.14,51.21,50.02,43.86,41.11,36.82
Bhutan,60.2,54.54,48.14,35.42,27.4,25.53
Hungary,44.26,41.22,30.68,28.23,35.42,35.4
Guinea-Bissau,48.48,46.45,43.2,41.21,40.13,39.11
Namibia,37.18,31.78,32.76,34.22,35.6,30.99
Angola,56.75,56.09,55.5,56.81,55.92,54.47
Gabon,28.01,26.54,23.19,20.3,19.6,19.83
Cuba,51.38,52.13,47.52,48.22,49.25,49.09
Cabo Verde,75.04,66.54,57.13,48.54,40.74,35.0
Guinea,39.23,41.14,38.64,33.56,29.02,26.11
Peru,55.76,60.96,69.79,72.77,66.55,61.8
Zambia,41.77,40.81,41.74,41.77,39.07,40.11
Tonga,51.31,46.45,42.33,38.8,35.7,34.26
"Tanzania, United Republic of",79.36,78.44,78.83,76.29,73.06,69.67
Germany,57.35,53.06,52.48,53.44,51.15,54.96
