Country,2000-2003,2004-2006,2007-2009,2010-2012,2013-2015,2016-2018,2019-2020,2021-2022
Guam,,53.27,47.45,47.5,,,,
Liberia,,,,32.47,59.08,40.63,,
Maldives,48.1,,46.05,,68.46,56.62,58.04,
Saint Vincent and the Grenadines,63.9,,,,,,,
Marshall Islands,,,,,,,23.04,28.97
Kyrgyzstan,,55.68,58.07,62.08,57.04,54.65,53.83,55.04
Azerbaijan,,44.09,37.68,25.25,,,,
Jamaica,47.74,45.65,41.84,36.25,38.25,39.39,39.13,39.11
Argentina,,53.79,51.08,49.52,47.77,46.48,42.12,42.62
Seychelles,,,,55.02,59.22,59.01,51.82,
Denmark,70.87,69.84,70.14,62.81,57.7,58.95,60.29,61.77
Algeria,,,47.79,46.46,41.91,40.59,,
Saudi Arabia,,,24.8,,26.43,27.47,31.33,36.7
Tajikistan,48.21,60.6,31.62,,,30.59,,
Ghana,52.77,35.02,,42.9,51.14,45.97,,38.9
Türkiye,54.83,51.39,51.87,51.34,53.36,55.26,53.03,54.63
Sudan,,,49.14,39.84,,,,45.13
Netherlands,74.03,69.49,70.84,67.54,67.65,67.42,68.69,79.26
Bhutan,,47.18,44.12,34.66,26.64,27.53,25.96,28.46
Saint Lucia,62.62,62.4,56.4,,,62.42,51.72,57.85
