Country,1991-1995,1996-2000,2001-2005,2006-2010,2011-2015,2016-2019,2020-2023
Libya,20.91,20.16,19.25,18.33,17.52,16.94,16.41
Mongolia,41.84,40.9,39.1,34.19,31.3,29.62,30.75
Bangladesh,49.45,48.73,47.52,44.87,40.57,39.93,39.43
Ukraine,34.66,34.93,35.17,35.44,35.81,36.15,31.3
Hong Kong,53.41,48.4,44.48,40.32,38.19,40.09,33.69
Mozambique,75.93,74.31,71.21,67.74,64.07,61.77,60.48
Zimbabwe,54.02,50.93,49.07,48.69,50.13,50.56,49.04
Djibouti,30.29,27.38,24.22,19.14,15.97,14.64,13.87
United States,60.32,59.79,56.64,52.91,50.0,50.41,50.27
Chile,44.0,41.36,36.4,37.9,36.97,33.58,28.26
Puerto Rico,31.57,33.93,34.54,28.14,24.06,23.78,23.0
Central African Republic,50.48,50.04,50.13,50.86,52.38,51.69,50.58
Turkmenistan,36.35,36.82,36.52,34.98,32.07,29.94,28.66
Ghana,57.95,54.91,51.63,48.2,44.78,42.68,41.24
Mauritania,29.4,28.46,26.93,25.43,23.66,20.66,19.78
Romania,54.12,45.02,35.66,30.72,30.43,29.28,26.76
Portugal,48.69,44.94,44.66,39.74,35.61,33.9,31.62
United Arab Emirates,49.97,50.45,51.02,53.56,53.84,54.67,44.38
Niger,67.97,67.82,68.94,70.4,65.68,61.82,60.53
Iceland,61.39,70.61,77.41,76.7,77.04,81.05,75.52
Maldives,38.51,38.37,39.95,41.65,46.35,51.35,48.0
