Country,1991-1995,1996-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
Poland,68.41,64.92,63.28,62.51,63.92,65.06,65.66,66.38
Benin,87.41,83.28,79.26,76.9,74.98,72.56,69.83,68.31
Botswana,72.85,69.99,67.07,66.38,67.5,67.42,68.93,69.02
Indonesia,82.78,83.22,84.05,83.08,82.36,82.82,81.97,81.18
"Congo, The Democratic Republic of the",73.57,73.76,73.81,73.5,71.27,69.74,69.59,68.95
Argentina,74.77,75.14,74.51,74.43,73.54,72.41,70.73,69.73
El Salvador,83.36,81.04,78.91,78.77,77.0,75.39,75.16,75.07
Togo,64.72,63.21,61.98,61.67,61.64,61.24,60.22,59.47
Libya,61.29,61.25,61.44,61.69,61.43,61.14,60.92,60.04
Uzbekistan,74.71,74.97,74.62,73.93,73.26,73.37,73.54,72.58
Singapore,78.53,79.46,78.88,78.17,78.5,78.8,78.24,77.37
Chile,76.13,76.39,73.64,72.46,72.76,71.9,70.95,69.49
Slovenia,64.57,65.05,64.13,65.99,65.06,63.11,62.85,63.01
"Venezuela, Bolivarian Republic of",80.27,80.37,80.51,80.03,78.59,76.37,73.5,67.33
"Virgin Islands, U.S.",77.81,66.95,66.72,68.14,68.47,67.93,67.39,65.39
Algeria,76.68,76.01,73.27,70.5,68.26,67.1,66.11,64.73
Netherlands,70.5,71.64,73.56,71.96,71.63,70.59,69.62,69.73
"Palestine, State of",69.87,68.26,64.82,64.77,66.12,68.94,70.82,69.4
France,64.06,63.26,62.91,62.13,61.57,61.23,60.23,59.73
Malaysia,79.05,78.69,78.27,77.09,76.51,78.09,78.02,78.28
Kenya,76.13,74.75,74.88,75.61,76.33,77.03,76.69,75.25
Bosnia and Herzegovina,58.65,56.89,56.53,56.92,57.94,57.74,57.74,59.77
