Country,1991-1996,1997-2002,2003-2007,2008-2012,2013-2017,2018-2022
Costa Rica,59.94,63.15,64.84,65.82,67.17,68.2
El Salvador,63.28,63.6,64.31,63.55,62.75,62.74
Saudi Arabia,53.62,51.99,54.3,54.67,57.63,60.95
Denmark,80.85,79.29,79.59,78.04,76.98,79.15
Niger,79.98,80.02,80.31,80.22,74.99,74.16
Cambodia,81.54,79.94,75.85,71.88,74.14,78.82
"Venezuela, Bolivarian Republic of",66.97,66.96,67.17,67.16,65.39,58.08
Mongolia,63.81,63.08,62.47,61.95,62.4,63.76
Morocco,52.61,52.99,52.73,51.98,49.88,48.46
Azerbaijan,80.98,81.58,71.64,65.42,68.16,73.82
Argentina,68.06,69.23,68.64,68.0,66.92,67.25
Romania,71.05,68.97,63.36,63.97,65.77,67.21
Togo,60.18,59.5,59.21,59.2,59.08,58.65
Guatemala,63.74,64.2,63.88,63.36,62.39,61.17
Russian Federation,73.04,69.6,71.44,72.99,73.88,74.74
Israel,68.67,69.12,70.04,71.46,73.59,72.64
Thailand,77.93,77.24,78.07,78.35,75.69,75.43
Uzbekistan,64.75,65.45,64.02,61.64,60.58,60.2
Luxembourg,62.11,63.49,66.45,68.75,71.06,73.15
Albania,68.81,67.37,63.93,64.37,64.31,69.36
Senegal,52.36,51.87,51.37,49.41,48.16,51.54
Japan,71.59,72.86,73.25,74.35,76.71,80.38
Algeria,46.67,46.48,45.11,44.37,44.89,44.45
