Country,1991-1994,1995-1998,1999-2002,2003-2005,2006-2008,2009-2011,2012-2014,2015-2017,2018-2020,2021-2023
Gabon,38.95,38.85,39.06,39.39,39.72,39.86,39.87,39.7,39.46,39.75
Thailand,44.43,45.82,45.85,45.98,46.02,45.96,45.72,45.57,45.71,45.98
Mali,42.91,42.81,42.7,42.58,42.45,42.33,42.21,42.23,39.23,38.11
Cyprus,36.16,38.38,40.86,42.1,43.03,44.67,45.15,46.1,45.58,45.81
Qatar,15.83,16.13,15.79,15.92,12.31,11.92,13.52,13.63,15.38,16.74
Lebanon,22.82,23.57,23.63,23.66,24.7,25.96,27.25,29.02,31.12,31.78
Guinea-Bissau,44.1,44.12,44.36,44.65,44.85,44.97,44.96,44.98,45.02,44.96
Timor-Leste,44.12,44.09,45.19,45.62,45.52,45.14,45.2,45.29,45.2,45.21
Maldives,22.78,28.33,32.75,33.86,33.07,30.74,28.89,28.32,26.98,27.1
Comoros,37.75,38.35,39.61,40.59,39.46,38.32,37.39,37.24,37.44,37.47
Ghana,50.58,50.15,49.65,49.12,48.67,48.23,47.81,47.6,47.8,47.98
Mongolia,47.28,47.32,47.28,47.12,46.89,46.15,45.92,45.9,44.9,44.92
"Korea, Republic of",38.77,39.33,40.18,40.62,41.17,41.09,41.22,41.71,42.34,43.07
French Polynesia,38.34,38.56,39.35,40.15,40.92,41.96,42.74,43.12,43.56,43.85
Lithuania,48.1,47.91,49.51,49.72,49.84,50.59,50.07,49.97,49.61,49.6
Uruguay,39.94,41.32,43.06,43.85,44.28,45.03,45.25,45.69,46.22,46.07
Bhutan,38.5,39.58,40.72,41.47,42.62,42.95,42.03,40.35,42.12,43.54
Luxembourg,36.71,37.62,40.11,41.94,43.24,43.75,44.51,45.79,46.4,46.62
Myanmar,45.38,44.51,43.28,41.92,40.94,40.28,39.94,39.36,38.63,37.83
Montenegro,44.47,44.77,45.0,45.11,45.05,44.94,45.35,45.54,45.08,45.53
"Moldova, Republic of",50.88,50.55,50.54,52.89,52.93,52.78,53.36,52.46,52.41,52.36
Norway,45.45,46.38,46.85,47.19,47.25,47.41,47.28,47.18,47.14,46.81
Afghanistan,17.01,16.91,16.62,17.06,16.81,16.66,18.24,21.32,20.85,10.44
Serbia,43.66,43.66,43.78,43.78,44.12,44.01,44.0,44.62,44.99,45.52
Pakistan,13.65,13.72,15.4,16.95,18.76,20.82,21.65,22.11,22.18,23.19
