Country,1991-1997,1998-2004,2005-2011,2012-2017,2018-2023
Chad,2510877.86,3014318.14,3726676.71,4437661.83,5294689.67
Hong Kong,3052069.14,3423041.86,3660269.29,3913075.17,3898213.5
Jordan,966789.0,1200952.29,1600163.0,2199081.17,2899895.5
Guam,72802.43,73298.71,72388.29,76691.17,78306.67
Dominican Republic,2769206.86,3264089.57,3720319.86,4459183.67,5067713.33
Iraq,4754791.43,6070811.71,7237991.86,9362628.0,10836327.5
Syrian Arab Republic,3889942.43,4916074.29,5841620.29,4684539.0,5315411.33
Spain,16348668.86,18659347.29,22734505.29,23150744.83,23347788.83
Uganda,7078053.29,8564514.86,10656919.14,13381834.0,17176402.5
Niger,3999177.29,5013164.29,6305527.86,7500936.83,9287477.67
Jamaica,1117878.43,1171334.86,1231123.29,1356937.83,1496060.33
Morocco,8307861.14,9823798.57,11161057.86,11738498.33,12132010.0
Guatemala,3468106.29,4243062.14,5057199.71,6019698.33,6750922.17
North Macedonia,837746.0,838357.86,864833.29,877187.33,838847.33
Lithuania,1823788.71,1664616.0,1502469.86,1467653.0,1480540.0
Kenya,9908011.29,12640525.43,16260575.57,20041258.33,23744386.83
China,673174883.29,738805651.14,774866125.86,779658588.33,776118137.83
Belgium,4147351.14,4375231.29,4763946.71,4987509.67,5261952.5
French Polynesia,87669.14,102163.29,115689.57,124256.67,132927.83
Côte d'Ivoire,4910056.14,6148005.71,7294463.71,8526588.83,10157932.5
Equatorial Guinea,179187.0,237386.86,341723.57,452145.83,542426.5
New Caledonia,85004.71,100249.86,115037.57,126791.67,120188.5
Sweden,4543437.86,4548491.71,4868769.57,5215482.0,5632431.5
Fiji,293164.14,324351.86,366952.57,376807.33,373665.83
Japan,66887900.43,67444269.29,66509825.29,66202900.33,68945839.0
France,26497369.29,27887897.86,29473754.0,30442011.83,31072701.83
