Country,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2017,2018-2018,2019-2019
Italy,44.15,43.2,43.4,43.4,43.4,43.4,23.2,34.8,42.9
Samoa,6.8,6.8,6.8,6.8,6.8,7.05,8.5,8.5,8.5
Hungary,40.15,39.4,38.25,34.8,34.3,34.3,34.3,29.0,26.4
Haiti,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4
Austria,34.9,34.5,34.6,34.75,34.2,34.25,34.2,33.8,33.7
Armenia,19.9,23.0,23.0,23.0,9.7,0.0,0.0,0.0,0.0
Luxembourg,15.3,15.3,15.3,15.25,15.7,15.6,15.5,15.6,15.4
Cameroon,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3,18.3
Lao People's Democratic Republic,5.6,5.6,5.6,5.6,5.6,6.2,6.8,6.8,6.8
South Africa,4.5,3.3,2.45,4.1,4.0,4.0,4.0,4.0,4.0
Gabon,24.9,24.9,24.9,24.9,24.9,24.9,24.9,25.5,25.5
Poland,27.0,27.2,23.6,23.7,24.55,24.85,25.0,25.2,25.3
Saint Kitts and Nevis,11.3,11.3,11.3,11.3,11.25,11.2,11.2,11.2,11.2
Georgia,28.8,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,9.5,9.5,9.5,9.5,9.85,10.7,10.7,11.8,12.1
