Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017,2018-2019
Cabo Verde,42.56,43.24,43.76,44.11,44.59,45.4,46.61,48.72,50.82,52.28,53.24
"Korea, Democratic People's Republic of",76.29,76.6,76.44,75.82,75.26,74.78,74.4,74.07,73.84,73.71,73.6
"Tanzania, United Republic of",84.84,84.77,84.68,84.6,85.7,86.79,84.99,82.17,79.84,79.81,79.72
Sweden,62.24,59.06,58.7,58.56,58.57,59.24,59.36,59.8,60.54,60.87,61.18
Jamaica,64.74,65.32,61.47,58.14,56.37,55.99,55.68,56.17,57.13,59.82,59.91
Italy,35.03,33.58,34.16,35.45,37.19,37.83,38.13,39.01,39.68,40.43,40.92
Trinidad and Tobago,40.15,44.08,46.92,46.81,49.67,53.22,52.03,51.42,51.66,50.98,50.25
Paraguay,52.36,52.95,52.81,52.55,53.99,54.24,54.75,58.16,55.96,56.43,59.5
Bahamas,65.7,67.89,68.56,69.21,69.54,69.7,69.53,69.62,69.88,70.01,70.06
Poland,53.42,52.09,49.67,49.41,48.17,46.98,47.5,48.54,48.86,48.8,48.76
Senegal,32.94,33.08,33.22,33.43,33.72,34.0,34.22,34.46,34.66,34.83,35.06
Latvia,52.88,52.61,52.12,49.47,50.68,51.79,54.35,53.62,53.64,55.28,55.91
Bahrain,29.24,30.92,32.75,34.76,37.07,39.7,42.62,43.21,43.71,44.23,45.11
Mali,59.74,59.69,59.78,59.96,60.12,60.27,60.32,60.34,60.79,58.66,57.83
Sierra Leone,63.12,63.1,63.07,63.08,63.47,62.78,60.5,58.27,56.94,57.22,57.46
Lithuania,54.85,54.34,53.62,54.33,52.86,50.3,51.72,53.33,54.32,55.94,57.0
Oman,21.02,21.55,22.17,23.28,24.3,25.02,26.43,28.1,29.9,31.99,35.92
Tajikistan,31.29,31.59,31.92,32.27,32.63,31.5,29.81,30.49,31.22,31.23,29.56
Mauritius,38.67,38.98,39.26,39.69,39.86,41.09,41.96,42.99,45.16,44.92,45.0
Haiti,57.64,57.86,57.71,57.58,58.38,59.5,60.4,61.59,62.66,63.2,63.64
South Sudan,70.97,70.89,70.85,70.8,70.68,70.61,70.63,70.63,70.68,70.76,70.9
Singapore,47.46,49.53,51.12,52.17,52.3,54.07,57.41,59.59,61.97,62.32,61.99
Eswatini,42.73,43.04,43.46,43.97,44.5,44.93,45.35,46.17,46.88,47.76,48.46
"Venezuela, Bolivarian Republic of",45.65,46.54,47.36,47.65,47.5,49.67,49.71,49.56,49.3,47.3,43.58
Ethiopia,66.39,66.68,68.84,71.06,73.15,74.32,73.91,73.53,73.34,73.28,73.3
Zambia,73.85,73.76,73.66,73.6,73.63,73.14,71.64,70.3,70.22,70.31,70.38
Brazil,42.26,45.83,47.04,50.2,53.14,54.8,54.29,52.69,53.08,53.72,54.72
"Taiwan, Province of China",44.09,44.7,45.27,45.78,46.87,48.55,49.5,50.07,50.54,50.78,51.24
Uruguay,46.26,48.04,50.07,51.34,51.72,53.03,55.42,55.58,55.86,55.78,55.44
