Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017,2018-2019
Hungary,76.21,71.34,67.66,70.07,70.56,72.61,73.58,75.92,79.18,80.0,80.54
Libya,39.89,42.12,44.26,46.22,48.2,49.61,50.16,49.92,49.42,49.23,49.22
Russian Federation,89.03,85.96,83.36,84.9,85.22,86.3,85.95,86.19,85.94,86.98,87.5
Puerto Rico,46.04,48.19,49.73,51.71,54.29,57.07,56.24,54.66,53.35,53.94,55.03
Kyrgyzstan,66.59,74.46,74.96,73.62,73.26,73.87,70.45,67.94,65.81,62.38,58.5
Yemen,18.85,19.65,22.9,23.81,19.16,15.28,12.12,9.2,7.46,7.42,7.49
South Africa,54.02,56.38,59.04,61.85,64.21,65.91,64.85,64.64,66.9,68.5,69.21
France,73.49,76.61,77.92,78.53,79.82,81.38,83.08,83.15,82.86,82.66,83.11
Sudan,27.54,30.58,32.88,33.36,33.87,34.38,34.9,35.54,36.49,37.3,38.3
Kuwait,50.27,52.14,53.42,55.38,55.78,55.59,57.93,59.58,61.27,61.89,62.28
Mauritius,46.93,47.78,48.76,49.64,50.26,52.68,55.94,58.91,62.61,63.64,64.28
Western Sahara,23.28,23.63,24.65,25.9,27.4,28.83,29.88,30.58,30.81,31.1,31.58
North Macedonia,60.25,61.29,60.91,61.0,62.95,63.61,64.24,65.44,65.84,65.05,67.22
Japan,64.9,65.25,66.32,66.74,67.74,69.37,71.05,72.46,74.86,76.85,79.5
"Tanzania, United Republic of",92.2,92.3,92.39,92.49,93.62,94.67,93.05,90.39,88.18,88.28,88.44
Guinea-Bissau,72.62,72.81,73.12,73.92,74.68,75.4,75.91,76.2,76.49,76.64,76.93
Guam,68.95,69.25,69.64,69.86,70.04,70.15,70.15,70.25,70.4,70.39,70.38
Paraguay,60.11,60.83,61.0,61.01,64.4,65.91,65.16,70.59,69.4,68.96,72.56
Botswana,58.35,60.35,62.77,63.01,65.28,68.2,70.45,76.29,79.98,80.45,81.23
Estonia,85.5,85.98,84.82,83.27,81.57,84.15,84.08,83.65,82.45,82.72,82.81
Georgia,72.91,75.68,72.93,70.32,69.95,70.19,71.55,72.87,73.22,70.46,68.78
Jamaica,85.61,86.75,81.12,77.77,76.57,76.17,76.48,77.33,78.0,80.18,79.97
Armenia,61.18,62.37,63.63,64.39,64.31,63.8,63.59,67.34,65.04,62.11,57.28
Malawi,86.67,86.6,86.07,85.41,84.73,84.03,83.3,82.52,82.56,83.09,83.63
Italy,52.96,53.08,55.06,58.13,61.94,64.04,64.76,65.74,66.11,67.04,67.63
Latvia,82.26,83.09,83.37,82.8,82.64,82.17,85.9,85.26,84.28,85.48,85.72
Liberia,81.13,82.63,82.66,82.46,82.58,82.52,82.34,82.5,83.0,84.43,85.02
Kazakhstan,88.19,89.2,89.43,88.89,88.22,89.38,90.71,91.3,90.3,88.64,88.39
Niger,78.86,79.17,79.21,79.0,78.4,77.78,77.21,74.97,70.73,70.76,70.88
Albania,71.62,71.2,69.53,67.3,66.47,67.6,67.64,69.83,68.64,72.01,76.31
