Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019
Singapore,18.59,19.88,21.1,21.15,18.8,21.4,26.06,29.12,33.64,35.72,37.05,38.34
Western Sahara,28.69,28.7,28.68,28.67,28.65,28.62,28.61,28.6,28.59,28.58,28.58,28.57
Uzbekistan,18.25,18.45,18.47,18.4,18.31,18.12,17.91,17.78,17.64,17.5,17.38,17.3
Ecuador,67.0,67.08,65.17,63.98,59.77,58.82,55.5,52.64,51.99,52.8,55.4,53.1
Bosnia and Herzegovina,6.85,6.89,6.82,6.71,6.63,8.34,6.96,5.57,6.58,6.43,6.44,7.46
Togo,82.79,83.09,81.55,80.92,80.61,80.98,81.0,80.64,80.17,79.59,78.95,78.22
Mongolia,21.93,22.2,22.02,21.9,21.62,21.13,19.53,17.73,13.96,12.0,13.26,14.43
Djibouti,26.15,25.73,25.28,24.44,22.83,20.45,18.05,16.62,15.77,14.94,14.23,13.38
Burundi,77.68,74.14,70.26,68.74,68.49,68.24,68.03,67.86,67.69,67.84,68.5,68.62
Rwanda,69.15,66.75,65.42,67.07,68.68,70.25,71.53,72.52,73.49,73.85,72.74,71.53
Mauritania,46.13,45.7,45.08,44.94,44.23,42.18,41.84,41.53,41.02,40.44,40.14,39.66
"Palestine, State of",25.87,25.18,22.94,19.49,18.48,18.49,17.92,17.62,17.46,17.89,12.74,14.69
Jamaica,52.53,49.31,47.11,44.87,42.43,41.22,40.95,40.74,40.5,42.94,43.58,43.53
Gabon,29.84,29.98,29.35,29.48,28.83,27.98,27.5,26.73,25.98,25.58,25.98,26.51
Bulgaria,5.94,5.73,5.07,4.48,5.92,4.62,5.9,4.89,4.93,6.28,7.19,9.14
Qatar,79.49,78.5,69.69,62.74,60.5,59.78,56.36,52.66,51.44,51.06,50.68,51.18
Iceland,42.63,34.93,35.85,33.03,31.03,28.86,27.95,28.94,27.36,31.6,33.66,31.34
Bahamas,34.18,28.5,27.56,27.12,27.11,27.11,27.4,27.54,27.56,27.66,27.71,27.7
Cuba,11.23,11.87,11.65,11.41,11.21,10.67,10.88,10.6,10.5,10.4,10.34,10.26
Brazil,27.75,28.32,28.97,29.63,28.47,27.6,26.34,23.4,23.13,22.4,22.36,23.6
