Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1994,1995-2001,2002-2008,2009-2015,2016-2022
Botswana,54.3,57.7,61.7,65.08,62.71,54.95,54.75,63.42,67.54
French Polynesia,62.04,63.96,66.54,72.16,76.07,80.66,82.55,84.4,85.14
Burundi,44.7,41.41,45.07,49.27,45.12,48.24,54.5,59.93,63.54
Zambia,51.14,52.96,55.88,54.19,48.77,46.44,51.66,60.52,64.65
Senegal,40.02,41.27,47.02,53.85,58.89,58.23,62.04,67.46,70.12
Peru,53.23,55.73,60.54,63.77,68.31,71.79,74.86,76.69,77.13
Afghanistan,34.76,38.25,41.34,41.02,49.76,55.62,59.7,63.38,65.89
Fiji,61.28,64.39,65.13,66.48,68.29,68.87,68.55,69.27,69.58
North Macedonia,59.67,65.6,70.19,72.11,73.79,74.94,75.94,77.2,77.39
Jamaica,66.67,68.6,70.06,71.52,73.09,72.82,73.55,74.48,73.54
Lesotho,53.53,54.8,58.67,63.34,63.36,55.03,46.1,50.35,56.29
Ireland,72.28,73.55,74.69,76.48,77.91,78.97,81.39,83.13,84.29
Faroe Islands,,76.7,78.7,78.9,79.99,81.06,81.91,83.66,84.93
Georgia,66.14,68.41,70.2,71.9,72.61,73.4,75.28,77.22,77.75
Syrian Arab Republic,56.53,61.29,65.65,69.14,71.88,72.73,75.43,72.94,74.8
Japan,71.98,75.05,77.78,80.22,82.11,83.97,85.65,86.5,87.36
Puerto Rico,72.63,74.66,76.57,77.61,78.43,79.62,81.35,82.59,83.76
United Arab Emirates,54.87,62.98,69.51,73.26,75.07,76.0,78.89,80.61,81.45
Mozambique,42.94,43.25,43.92,43.01,46.46,49.64,53.14,57.66,62.88
New Caledonia,62.54,66.0,69.35,71.64,73.91,76.47,79.13,80.0,82.89
Iraq,58.44,63.23,66.74,68.22,66.94,69.0,69.74,70.53,72.76
Mexico,59.16,62.99,66.92,70.89,73.97,76.04,76.94,77.45,76.71
Hungary,71.2,72.21,72.73,73.21,73.93,75.29,77.06,78.7,79.23
Central African Republic,42.05,46.27,50.18,52.24,51.1,47.65,47.51,51.96,56.43
Vanuatu,52.38,56.65,60.98,66.63,70.1,71.3,71.93,72.01,72.5
Norway,76.11,77.19,78.5,79.53,80.08,81.17,82.39,83.66,84.5
