Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1994,1995-2001,2002-2008,2009-2015,2016-2022
Bahamas,63.76,65.84,67.48,68.88,70.11,71.42,72.58,72.87,72.97
Norway,73.56,74.1,75.21,76.06,76.89,78.29,79.94,81.53,82.81
Saint Vincent and the Grenadines,61.07,68.11,69.58,71.17,72.49,71.43,73.55,74.46,72.32
Nauru,58.94,60.12,61.32,61.68,61.35,59.5,58.32,60.72,63.35
Slovakia,70.5,70.15,70.42,70.77,71.51,72.79,74.03,75.98,76.83
Ghana,47.52,47.84,50.07,52.24,55.73,57.5,59.62,62.07,64.09
Poland,68.45,70.02,70.56,70.89,71.18,72.97,74.98,76.78,77.2
Solomon Islands,50.07,56.01,60.88,63.89,65.58,66.9,67.91,69.03,70.23
Denmark,72.38,73.31,74.14,74.49,75.03,76.09,77.73,79.89,81.24
Iraq,54.99,60.14,63.0,60.3,62.43,66.32,64.95,67.97,70.48
Cayman Islands,,,,,,,,82.19,82.01
nld_curacao,66.45,68.26,70.21,71.44,72.3,72.86,74.13,77.51,77.87
Bangladesh,46.7,45.02,50.84,53.5,56.35,63.21,66.99,69.21,72.33
Turks and Caicos Islands,58.11,57.94,68.75,69.04,69.42,72.52,76.32,76.81,75.69
Chad,38.93,40.52,42.33,44.11,45.88,47.26,48.39,50.41,52.68
Comoros,40.92,44.86,48.91,52.9,56.27,58.55,59.69,61.85,63.73
Sudan,46.88,47.69,53.52,49.06,47.76,54.26,59.14,63.61,65.46
Puerto Rico,69.56,71.05,72.5,73.51,73.94,75.29,77.27,78.58,79.47
Guyana,59.1,60.44,60.98,61.6,62.67,63.86,65.37,67.3,67.89
South Sudan,29.14,29.37,37.34,33.54,27.43,35.57,51.23,55.11,55.53
Antigua and Barbuda,64.18,69.88,72.53,73.5,73.48,74.21,75.83,77.33,78.6
Macao,66.35,69.24,72.26,75.1,77.84,80.37,82.03,83.5,84.95
Azerbaijan,56.85,59.02,60.62,61.93,61.98,63.72,67.64,70.38,71.41
Liberia,38.58,40.62,43.57,45.03,41.95,48.45,56.35,59.48,60.82
Rwanda,47.37,47.09,45.65,51.13,42.39,43.39,56.72,63.78,66.33
Egypt,47.57,50.18,54.19,59.66,64.55,67.4,68.83,70.01,70.89
Cameroon,41.04,47.43,50.15,53.18,54.5,52.88,54.5,57.81,60.85
Cabo Verde,50.88,54.3,59.36,62.14,64.94,67.05,72.06,74.32,75.38
