Country,2000-2003,2004-2007,2008-2011,2012-2014,2015-2017,2018-2020
Greece,0.01,0.0,0.0,0.01,0.01,0.01
Kazakhstan,0.1,0.07,0.06,0.04,0.04,0.04
Austria,0.01,0.01,0.01,0.01,0.01,0.01
Germany,0.01,0.01,0.01,0.01,0.01,0.01
Antigua and Barbuda,0.1,0.07,0.07,0.04,0.04,0.03
Armenia,0.07,0.05,0.05,0.05,0.04,0.04
Guyana,0.59,0.52,0.4,0.36,0.34,0.31
Afghanistan,9.61,7.55,5.83,4.79,4.11,3.39
Bahamas,0.13,0.15,0.17,0.15,0.11,0.11
Thailand,0.07,0.05,0.05,0.04,0.04,0.04
United States,0.03,0.03,0.03,0.03,0.03,0.03
Tajikistan,0.24,0.16,0.12,0.1,0.08,0.06
Slovakia,0.01,0.01,0.01,0.01,0.01,0.01
"Congo, The Democratic Republic of the",4.23,4.05,3.89,3.79,3.72,3.39
Kiribati,0.45,0.43,0.52,0.47,0.43,0.36
Tunisia,0.13,0.11,0.1,0.1,0.09,0.09
Burundi,4.88,4.47,3.85,3.31,2.87,2.67
Bangladesh,1.58,1.19,0.92,0.54,0.47,0.35
Norway,0.01,0.01,0.01,0.01,0.0,0.0
South Sudan,10.76,7.57,5.73,5.62,5.88,5.32
Singapore,0.02,0.02,0.01,0.01,0.01,0.01
