Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017,2018-2019
Hong Kong,35.5,36.32,33.86,,,,,,,,
Brunei Darussalam,12.01,10.66,12.15,15.28,17.12,17.99,17.85,17.75,17.79,17.72,17.5
Niger,0.92,0.92,0.91,0.91,0.91,0.9,0.85,0.84,0.85,0.86,0.86
Egypt,25.18,24.16,23.66,23.71,26.17,29.5,32.91,33.15,32.07,30.94,29.84
Kyrgyzstan,1.77,1.85,2.13,2.61,2.93,3.2,3.48,3.67,3.78,3.74,3.56
Switzerland,5.15,7.02,8.51,9.42,9.42,9.35,9.42,9.52,9.57,9.39,9.1
Mauritius,2.15,1.83,1.82,1.93,2.09,2.38,2.85,3.0,3.02,2.92,2.74
Qatar,17.78,16.35,16.64,17.31,15.88,15.04,15.93,16.86,17.8,17.88,17.05
Trinidad and Tobago,7.34,6.59,4.85,2.99,2.72,2.7,2.82,2.88,2.91,2.97,3.0
United Kingdom,2.84,2.98,3.25,3.69,4.26,4.97,5.81,6.54,7.04,7.2,7.01
Luxembourg,4.46,5.18,5.23,5.13,5.51,5.89,6.15,6.12,5.92,5.54,5.24
Belgium,3.96,4.62,4.69,4.56,4.46,4.61,5.31,5.91,6.27,6.2,6.05
Tokelau,9.48,9.41,9.34,9.27,9.22,9.16,9.03,8.93,8.87,8.84,8.82
Israel,3.06,3.29,3.4,3.49,3.71,3.88,3.93,4.03,4.13,4.08,4.07
Malaysia,7.98,8.68,8.95,9.13,9.52,9.79,9.74,9.66,9.54,9.2,8.84
Iceland,2.95,3.28,3.51,3.71,3.89,4.19,4.64,4.86,4.98,5.2,5.28
American Samoa,6.49,6.46,6.66,7.1,7.77,8.32,8.62,8.98,9.28,9.41,9.33
Pakistan,2.48,2.56,2.66,2.78,2.88,2.92,2.91,2.87,2.82,2.74,2.67
France,9.75,11.2,11.73,11.94,11.75,11.69,11.97,11.99,11.86,11.36,10.94
Yemen,3.99,3.87,3.76,3.67,3.66,3.68,3.72,3.78,3.84,3.9,3.96
South Sudan,3.24,3.27,3.25,3.19,3.16,3.16,3.18,3.13,3.04,3.02,3.0
Djibouti,3.38,3.51,3.67,3.84,3.94,3.92,3.74,3.64,3.6,3.58,3.59
Antigua and Barbuda,11.24,10.06,7.33,4.2,3.4,3.24,3.47,3.52,3.49,3.47,3.5
Georgia,1.63,2.05,3.85,6.0,4.61,3.73,4.11,4.75,5.38,5.58,5.66
Cook Islands,15.94,15.64,15.3,14.92,14.73,14.78,15.16,15.9,16.66,16.9,16.83
"Palestine, State of",9.46,9.05,8.78,8.65,8.74,8.67,8.19,8.09,8.19,8.23,8.18
Serbia,7.59,7.93,8.26,8.55,8.78,8.73,8.32,7.74,7.15,7.08,7.21
Iraq,5.16,5.28,5.23,5.07,4.96,5.01,5.44,6.4,7.33,7.12,7.14
