Country,1990-1994,1995-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019
Nepal,1.34,1.33,1.32,1.33,1.33,1.36,1.4
Ecuador,2.97,2.66,2.57,3.02,3.18,3.26,3.32
Israel,2.19,2.11,1.89,1.97,1.98,2.0,1.98
Tonga,10.7,10.28,9.88,9.43,9.66,9.68,9.65
Belize,5.6,4.12,2.8,2.47,2.38,2.24,2.24
"Congo, The Democratic Republic of the",2.02,2.02,2.06,2.08,2.04,2.0,1.9
Türkiye,2.74,2.47,2.09,1.9,2.06,2.28,2.46
Lao People's Democratic Republic,6.89,6.46,5.7,5.07,4.71,4.46,4.27
Samoa,2.84,2.75,2.62,2.56,2.63,2.63,2.64
Colombia,2.9,2.34,1.87,1.84,1.84,1.96,2.0
Argentina,0.98,0.93,0.98,1.06,1.16,1.23,1.25
Saint Vincent and the Grenadines,4.55,2.95,1.86,1.67,1.7,1.75,1.82
Rwanda,4.53,4.51,4.05,3.71,3.56,3.54,3.53
Burundi,3.26,3.33,3.16,2.91,2.73,2.64,2.58
Mongolia,38.35,42.17,58.0,82.83,95.73,90.27,84.37
France,1.91,2.29,2.53,2.74,3.01,3.14,3.06
Uruguay,0.9,0.93,1.0,1.1,1.17,1.29,1.29
Poland,5.38,2.85,1.27,1.16,1.16,1.2,1.2
Palau,1.64,1.53,1.47,1.44,1.47,1.47,1.48
Austria,1.88,2.17,2.66,3.09,3.17,3.17,3.01
Jamaica,2.36,1.48,1.25,1.44,1.58,1.76,1.83
