Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019
Angola,48.29,53.38,59.05,65.38,72.72,80.61,88.0,95.61,103.55,115.09
Uganda,102.79,122.45,150.89,184.34,212.81,241.57,275.42,314.94,357.46,386.6
Ethiopia,285.49,300.38,308.02,308.39,307.28,306.99,312.11,335.86,371.07,411.09
Turkmenistan,12.18,14.53,19.88,30.64,48.46,60.16,65.73,71.68,77.47,82.74
Togo,33.19,36.31,38.85,40.56,43.05,47.07,52.8,58.35,64.61,73.27
"Virgin Islands, U.S.",1.55,1.63,1.53,1.26,1.2,1.22,1.28,1.35,1.44,1.53
scg,,,,,276.0,,,,,
Russian Federation,1397.69,1492.81,1520.71,1543.36,1708.74,1966.84,2305.67,2577.09,2737.88,2694.74
Austria,137.08,147.87,166.24,193.34,230.95,259.27,273.63,282.62,287.53,281.1
Suriname,6.51,5.29,4.31,3.61,3.53,3.68,3.96,4.38,4.93,5.49
Costa Rica,45.25,52.66,52.88,46.69,49.1,54.93,64.73,76.33,89.65,101.25
Dominican Republic,66.36,67.18,67.52,69.27,77.86,86.48,93.46,107.76,130.67,150.34
Ecuador,85.63,92.94,96.63,100.31,127.22,155.28,176.27,198.83,223.15,248.98
Andorra,1.74,2.09,2.36,2.65,2.98,3.32,3.78,4.02,4.54,4.95
American Samoa,0.51,0.55,0.63,0.76,0.91,1.0,1.04,1.05,1.05,1.12
Latvia,28.91,35.93,42.92,48.78,51.2,50.69,45.49,42.36,40.84,41.43
Cambodia,353.35,374.97,390.97,405.41,421.21,438.47,456.99,483.43,516.55,559.62
Thailand,2519.08,2782.58,3090.64,3461.42,3929.65,4574.28,5456.39,6039.63,6448.18,7102.77
Niger,6.09,6.85,7.57,8.33,9.21,10.15,10.92,12.33,14.22,16.12
Senegal,39.58,41.38,42.98,45.22,52.72,59.42,61.87,67.45,75.1,81.39
Bangladesh,430.95,463.25,491.67,520.91,556.0,605.51,659.28,725.92,808.53,925.12
Uzbekistan,55.93,64.87,76.26,99.16,197.65,312.3,402.52,477.58,540.37,555.13
Guinea-Bissau,12.1,12.87,13.25,13.35,14.04,14.87,15.8,16.74,17.7,18.66
Iceland,2.15,2.55,2.9,3.25,3.61,3.89,4.08,4.38,4.76,5.1
Vanuatu,1.95,2.23,2.4,2.49,2.54,2.77,3.23,3.65,4.02,4.33
United States,2623.49,3078.99,3590.17,4129.39,4581.02,5117.22,5856.88,6509.46,7098.94,7574.89
Lebanon,32.93,36.2,39.97,44.1,48.48,53.48,59.42,67.9,77.36,86.02
