Country,2000-2003,2004-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
"Iran, Islamic Republic of",78.23,81.31,92.92,97.87,86.46,86.91,88.26
Croatia,101.31,99.09,97.48,97.16,97.35,97.7,96.85
Benin,9.13,17.1,,31.74,37.17,,30.25
Malta,96.61,97.35,97.49,102.92,99.75,100.39,98.98
Brunei Darussalam,,93.59,103.6,107.06,101.42,101.83,105.09
United Arab Emirates,82.98,86.58,62.93,77.12,89.11,120.06,109.12
United Kingdom,,,,,,98.19,96.67
Oman,79.75,,109.18,113.29,99.87,98.76,94.29
Armenia,86.51,84.78,94.04,,90.82,92.92,100.72
Saudi Arabia,,81.58,81.78,122.11,105.04,105.43,105.9
Czechia,94.61,95.97,99.51,95.21,96.0,95.32,94.54
Ghana,43.29,46.33,60.89,62.01,65.78,71.26,
Latvia,,,,103.09,97.54,98.75,96.86
Kiribati,,,,,97.25,,105.17
Mauritius,78.11,82.47,88.16,86.27,89.25,90.13,112.53
Kazakhstan,92.29,92.82,100.01,100.13,102.5,101.69,92.13
Guatemala,31.58,40.96,50.85,56.26,59.91,56.58,54.36
Andorra,,83.91,80.69,83.4,86.52,92.63,91.22
Niger,3.69,6.06,7.17,9.18,12.91,16.64,15.43
Peru,76.32,80.51,87.16,86.15,88.5,90.5,88.62
