Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017,2018-2019
Thailand,3784.09,4413.98,4965.74,5192.32,5171.85,5476.37,5869.33,6188.87,6410.88,6906.42,7650.0
United Arab Emirates,12.7,16.44,20.52,24.76,30.85,38.09,47.31,60.47,69.6,84.4,102.79
Eswatini,11.94,13.25,14.73,17.9,21.29,23.14,23.88,24.65,26.38,27.7,29.42
Algeria,249.76,277.98,299.33,327.16,361.07,403.07,446.77,509.74,569.54,621.42,696.96
Rwanda,66.77,53.55,63.78,65.69,69.85,77.32,88.74,105.24,121.41,136.51,155.49
Tokelau,0.1,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1,0.11,0.12
"Korea, Republic of",2185.86,2917.18,3727.47,4161.96,4363.59,4824.99,5937.22,6777.75,7385.99,7963.55,8925.36
Brunei Darussalam,14.74,16.26,18.38,20.77,23.57,27.55,31.53,37.29,42.66,46.96,51.75
American Samoa,1.38,1.6,1.84,2.06,2.26,2.5,2.7,3.05,3.36,3.56,3.74
Jamaica,59.28,61.37,68.46,80.05,86.16,88.69,95.41,103.77,115.51,118.32,124.76
Suriname,10.62,10.82,10.68,12.99,15.81,17.54,19.88,22.5,26.0,28.92,31.34
"Moldova, Republic of",240.42,215.94,191.66,180.01,186.56,198.04,209.7,210.68,222.24,220.02,223.74
Maldives,1.85,2.08,2.54,2.88,3.0,3.26,3.71,4.24,4.72,5.24,5.96
Lebanon,102.73,117.61,134.58,169.72,222.27,272.33,323.03,388.07,436.97,467.82,499.59
Djibouti,2.72,3.15,3.74,4.32,5.14,6.33,7.47,9.02,10.32,11.8,13.8
Tonga,2.83,3.1,3.41,3.65,3.63,3.75,4.06,4.43,4.65,4.84,5.04
Bahrain,11.73,12.14,13.37,15.38,18.39,21.04,22.39,22.66,25.04,29.9,35.36
Kyrgyzstan,157.82,153.44,134.26,116.81,108.48,104.89,105.4,112.42,120.29,127.04,136.01
Antigua and Barbuda,1.25,1.39,1.48,1.62,1.81,2.05,2.32,2.67,3.02,3.26,3.46
Guinea-Bissau,10.0,10.65,11.33,12.01,13.4,14.99,16.69,18.61,20.43,22.12,23.74
Switzerland,883.28,887.98,921.52,986.29,1207.92,1382.27,1542.74,1656.59,1663.39,1702.82,1721.34
Grenada,2.69,2.67,2.63,2.71,3.06,3.5,4.02,4.39,4.62,4.8,5.01
Slovakia,344.89,363.53,390.0,411.31,437.09,516.26,642.16,716.89,739.91,738.56,755.52
Ecuador,170.78,204.57,235.32,253.18,331.42,406.51,460.28,516.57,550.02,594.16,645.5
Bhutan,3.29,3.76,4.37,4.97,5.58,6.31,7.24,8.44,9.41,10.24,11.24
Georgia,319.51,260.51,227.54,238.12,270.28,277.35,262.96,252.29,247.72,258.74,267.28
Ethiopia,163.63,175.4,188.22,203.88,218.93,240.34,270.4,311.25,357.14,404.42,460.77
Romania,1298.79,1424.95,1571.41,1638.32,1772.88,1888.06,2103.28,2275.01,2475.74,2570.94,2636.46
"Micronesia, Federated States of",3.0,3.27,3.49,3.64,3.85,4.14,4.52,4.93,5.3,5.63,5.98
