Country,1990-1993,1994-1997,1998-2000,2001-2003,2004-2006
Afghanistan,307550.0,198366.67,288100.0,525533.33,259666.67
Suriname,1500.67,9820.0,13160.0,14940.0,6853.0
Mozambique,,12790.0,1936666.67,4467666.67,5947666.67
"Iran, Islamic Republic of",78840.0,53415.0,25260.0,19473.33,16233.33
Equatorial Guinea,22780.0,13680.0,,,
Solomon Islands,134350.0,100780.0,67953.33,80630.0,80676.67
Namibia,380500.0,353175.0,433933.33,484200.0,405200.0
Bangladesh,89640.0,122197.5,61380.0,386800.0,256133.33
Kenya,,4741000.0,92570.0,3891000.0,8228666.67
"Bolivia, Plurinational State of",22670.0,49287.5,51806.67,139566.67,191300.0
French Guiana,4382.0,4217.75,4159.0,3727.33,3508.33
Papua New Guinea,86175.0,68277.5,40216.67,1627333.33,1777666.67
Azerbaijan,46.75,6639.5,3005.33,682.0,257.0
Liberia,,533100.0,777800.0,,610850.0
Botswana,21358.75,57272.5,67913.33,104633.33,17546.67
Yemen,21170.0,586850.0,2088000.0,156500.0,192166.67
