Country,1991-1996,1997-2002,2003-2008,2009-2014,2015-2019
Guinea-Bissau,24.18,25.68,27.36,29.3,31.02
Argentina,61.41,66.72,66.44,65.17,67.54
Samoa,28.81,31.2,33.29,35.9,38.2
Namibia,37.6,47.22,47.64,48.46,49.51
Belize,44.53,45.04,50.43,53.25,55.38
Uzbekistan,30.83,34.15,39.28,42.59,42.73
Russian Federation,38.66,48.23,50.18,53.02,54.59
Georgia,34.99,36.94,34.31,38.76,41.16
Macao,48.21,53.42,62.58,75.71,78.8
Jamaica,40.91,46.59,47.67,51.63,53.86
Saint Lucia,44.91,50.98,52.58,55.8,60.93
Cabo Verde,44.3,46.06,47.68,50.09,52.88
Ecuador,41.17,42.74,44.18,45.25,46.32
Afghanistan,26.71,27.27,29.79,36.34,44.5
Cyprus,57.68,62.3,61.73,66.18,69.74
Western Sahara,50.43,50.91,50.74,52.48,54.5
United Kingdom,57.36,61.13,65.02,69.22,70.74
Mali,18.67,19.8,21.36,22.83,27.25
Cameroon,23.54,25.01,30.99,37.58,41.77
Peru,43.2,44.39,45.75,48.44,49.3
Croatia,44.7,47.43,46.68,49.74,53.89
Liberia,32.5,34.23,35.49,38.14,40.06
Bahamas,70.06,68.06,66.62,68.3,70.73
