Country,1965-1969,1970-1974,1975-1979,1980-1984,1985-1993,1994-1998,1999-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
Finland,66.9,68.26,61.59,57.81,70.03,74.15,72.99,67.85,61.61,58.58,62.37,62.25
Cambodia,81.77,71.87,,,,,74.22,81.42,78.42,79.54,76.68,65.63
Bulgaria,,,,,49.4,52.56,64.6,64.46,56.66,56.19,61.62,61.94
Nepal,,78.87,74.17,67.86,66.96,48.23,54.17,,57.93,53.6,60.45,55.69
Sao Tome and Principe,,,,,,,54.23,45.41,48.85,42.69,46.73,41.6
Suriname,77.8,64.83,,,,72.07,53.47,44.85,60.25,61.91,63.45,72.93
Japan,20.98,24.01,19.68,20.91,37.47,53.48,56.92,52.96,48.42,51.14,59.37,56.55
Benin,71.15,71.98,64.0,65.06,,48.55,54.17,44.54,44.35,39.19,34.53,48.19
Bahrain,,51.2,52.71,79.95,78.47,54.2,42.96,37.48,39.27,45.28,51.08,55.5
Azerbaijan,,,,,,63.86,69.42,74.96,78.94,74.58,68.21,70.83
Germany,43.95,51.8,51.83,53.6,66.5,70.54,71.93,69.38,69.58,69.49,74.28,72.57
Lao People's Democratic Republic,48.91,49.71,,,,,,,63.8,73.62,68.92,60.57
Uganda,,,60.48,,,72.15,66.65,63.37,64.91,61.81,60.59,53.82
Croatia,,,,,73.11,71.23,74.72,73.51,67.75,64.17,70.3,66.45
Senegal,54.13,56.57,58.64,44.48,53.18,48.24,52.73,46.9,44.97,45.02,50.51,47.98
"Korea, Republic of",58.41,54.7,53.89,47.69,62.01,63.56,62.09,59.55,54.65,53.72,61.63,61.16
Kiribati,,46.99,46.66,48.14,54.26,47.21,49.38,30.86,32.69,47.22,44.96,41.1
Dominican Republic,,65.96,59.84,47.47,49.92,,72.77,75.45,59.37,59.82,66.38,70.12
Timor-Leste,,,,,,,,45.82,,47.53,44.0,45.0
Philippines,65.43,63.19,54.31,43.09,48.42,70.77,79.5,75.4,62.12,66.84,74.2,69.13
New Zealand,75.04,76.07,71.41,69.52,79.69,81.56,78.91,75.39,69.7,70.84,74.57,73.92
Dominica,,,56.75,59.08,63.11,64.14,65.6,62.77,58.78,50.31,64.58,66.24
Argentina,67.0,70.32,68.29,75.86,79.5,87.39,85.97,86.15,83.02,78.65,81.49,76.13
Congo,78.52,78.05,71.56,74.02,76.83,64.38,,89.31,87.91,91.21,80.86,61.95
