Country,1981-1985,1986-1990,1991-1995,1996-1999,2000-2003,2004-2007,2008-2011,2012-2015,2016-2019,2020-2023
Pakistan,9.48,6.95,4.5,3.66,5.97,12.64,1.63,4.32,5.12,2.07
Mongolia,,,,-7.91,18.19,4.34,1.9,6.46,8.14,3.44
Sweden,2.56,1.01,3.95,7.22,4.15,5.02,0.02,-1.55,1.19,2.19
Gabon,11.41,-6.39,-0.2,7.26,3.31,96.73,4.74,4.01,3.69,1.06
North Macedonia,,,-12.79,0.46,4.93,4.35,3.51,8.74,2.22,-0.55
Bhutan,28.38,20.12,9.29,5.89,5.78,12.18,10.72,3.78,2.27,-4.47
Tunisia,6.39,0.5,5.66,5.79,3.54,4.11,2.43,0.44,0.72,0.93
Brunei Darussalam,,-0.88,3.97,2.37,3.27,-1.33,0.27,-1.96,3.41,2.72
Saint Kitts and Nevis,-0.44,1.5,1.48,5.4,7.46,2.36,-2.4,-1.11,-0.51,-8.27
Nicaragua,0.88,-5.65,1.86,5.32,3.67,6.19,3.66,6.7,1.46,4.84
United Kingdom,,,0.57,3.81,3.78,2.93,-2.59,2.86,1.26,0.25
Italy,,,1.72,0.56,0.12,2.47,-2.67,-0.64,1.93,1.42
"Congo, The Democratic Republic of the",3.34,-2.86,-11.47,-5.6,-6.3,1.77,-2.46,9.74,4.1,0.49
Cameroon,15.22,-0.47,-3.26,3.38,10.15,5.26,3.82,4.41,3.11,3.71
Bahrain,,,,,,5.37,4.62,4.09,2.44,-0.08
Greenland,,,,,,1.11,1.96,12.68,-10.12,13.72
New Zealand,2.84,-1.97,3.21,0.86,3.8,0.56,-2.77,1.68,1.53,-2.33
Spain,,,,4.98,2.52,1.28,-3.99,-0.05,1.82,1.43
"Micronesia, Federated States of",,,,-0.42,6.11,-27.8,3.63,-1.82,15.04,-2.17
Bahamas,,-6.71,-1.81,3.03,4.16,0.54,-0.99,-1.71,-5.85,-24.96
Chile,-0.74,6.73,7.12,2.05,2.57,3.93,2.9,2.05,1.07,0.3
Bangladesh,4.62,5.32,8.27,5.81,5.76,9.05,7.67,9.83,10.39,8.39
Japan,,,4.95,0.35,0.75,4.83,-1.19,1.67,1.46,1.05
Guatemala,-2.1,1.88,2.95,2.69,1.65,3.57,1.87,3.45,3.12,3.27
Ghana,,,,,,-1.22,6.75,0.47,6.98,2.13
