Country,1977-1982,1983-1988,1989-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Saint Vincent and the Grenadines,16493259.83,35320378.83,53215243.0,60038000.0,63733360.0,81843160.0,88257200.0,107690000.0,89270000.0
Lesotho,18941616.67,55322766.67,181186140.0,398516460.0,1382017080.0,2556146960.0,2389057560.0,4658663240.0,5683583920.0
Hong Kong,,,,,49942250000.0,36534000000.0,30091600000.0,27263000000.0,26918500000.0
Guinea,,50744429200.0,102756091620.0,147869400000.0,243364822320.0,2132642267820.0,4964656800000.0,9105601253240.0,16144722410400.0
Japan,,,,123378380000000.0,113807560000000.0,114135600000000.0,98637400000000.0,110000320000000.0,110984300000000.0
Saint Kitts and Nevis,15141666.67,29093333.33,47648000.0,58912000.0,78678000.0,103510000.0,166828000.0,162544000.0,124208000.0
Lithuania,,,,1696888500.0,2372867600.0,4226886400.0,5398426000.0,6815020200.0,9170009400.0
Belize,53249391.92,65446013.81,127074985.71,169816607.97,212606627.12,244577181.94,271909615.22,311468181.44,326837368.81
Canada,,,,149188000000.0,183097600000.0,186605000000.0,173450600000.0,203115400000.0,207672000000.0
Cayman Islands,,,,,,29913452.72,27813472.86,35365315.05,47818635.97
Mauritania,,972081260.97,1293787700.68,2411133500.0,4921018300.0,7652856860.0,11739568680.98,15195620000.0,20609952047.59
Slovakia,,,,4195071250.0,6824888400.0,11469061200.0,12313639200.0,15543861600.0,20314245400.0
Peru,518.57,,7597564366.67,20586000000.0,28433800000.0,47384800000.0,69911400000.0,86983800000.0,101956250000.0
Uruguay,,301246500.0,6595831200.0,28725934300.0,38944856440.0,72989910860.0,124531557300.0,197354950194.92,259167886102.2
Guinea-Bissau,,341725253.26,1786838988.37,17582148614.17,25618330213.13,32042994042.28,45415304859.56,68575281258.99,
San Marino,,,,,,,,395647209.47,460486937.5
Bahamas,,,133715600.0,138854200.0,213120000.0,239900000.0,246620000.0,311500000.0,193720000.0
Sint Maarten (Dutch part),,,,,,,21066666.67,51343820.0,29165966.67
"Palestine, State of",,,,510560000.0,432500000.0,573900000.0,1309420000.0,1622060000.0,1953350000.0
Chile,190148178871.0,676938550555.0,2566493228900.0,5194085733220.0,6995723798360.0,9170846245900.0,11868390094000.0,16434620385400.0,21402002509580.0
Equatorial Guinea,,,,,,1028957000000.0,1856393000000.0,1694207600000.0,599178594500.0
Uganda,76613333.33,5510500000.0,120082800000.0,436153000000.0,758749689620.0,1338746117420.0,11633937410700.0,16248472850800.0,24472742884920.0
Botswana,41650000.0,139633333.33,377930000.0,892040000.0,1830262220.0,4022830580.0,7915587520.0,10496921180.0,11981226900.0
Gabon,38600003333.33,88436663333.33,91620000000.0,125096000000.0,112661400000.0,627148600000.0,1376040513780.0,1547069127460.0,2371004594160.0
Burundi,5760266666.67,11384216666.67,21818180000.0,26728158900.0,75680591220.0,148336084060.0,272626788660.0,435165097933.33,
Germany,,,388408333333.33,392607400000.0,432162000000.0,487420000000.0,519212600000.0,639219400000.0,699693400000.0
Estonia,,,,649896500.0,1092452600.0,1928945200.0,2261441200.0,3093957800.0,4173270200.0
Macao,,,3868666666.67,3788600000.0,3479000000.0,3020600000.0,1503800000.0,2147800000.0,2002000000.0
