Country,1990-1993,1994-1997,1998-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019
Cabo Verde,138.84,130.37,120.5,110.16,103.45,100.31,93.12,74.27,60.32
Andorra,2.6,2.49,2.31,2.25,2.24,2.15,2.05,1.92,1.9
Croatia,12.32,12.37,9.46,10.47,11.31,10.41,7.8,4.0,4.32
Honduras,244.99,207.46,187.78,186.89,182.51,165.94,123.9,111.43,109.36
Denmark,8.26,7.64,3.82,3.23,4.03,3.72,2.26,2.43,2.14
Georgia,20.16,26.91,27.33,43.47,48.99,62.02,43.34,41.42,41.34
Guinea,568.6,535.28,534.28,534.83,522.03,513.84,515.22,509.95,477.41
Indonesia,380.85,370.52,341.28,291.31,245.7,213.15,182.38,156.89,141.33
Panama,58.75,57.18,63.5,65.16,75.04,68.68,81.17,71.64,70.25
Japan,13.71,10.34,9.03,7.78,6.36,5.77,5.22,4.59,4.43
Burundi,485.53,527.29,536.77,468.01,409.02,346.95,320.74,295.31,280.26
Togo,333.77,318.86,312.74,322.12,310.94,286.42,240.43,232.6,234.28
"Taiwan, Province of China",13.24,12.74,10.65,9.96,11.06,10.36,10.75,11.81,10.91
Mozambique,249.97,206.35,173.82,156.32,172.51,201.81,210.7,203.69,188.47
Haiti,470.15,446.28,468.24,524.95,553.84,539.47,535.7,514.32,476.56
Iraq,80.22,85.81,80.06,74.26,71.25,59.56,50.96,45.32,39.15
Cyprus,13.6,14.95,13.68,10.81,9.68,7.16,3.87,2.4,1.9
Palau,116.41,119.44,121.04,120.18,123.86,120.28,121.54,123.67,125.31
Suriname,91.66,87.75,75.77,78.31,101.55,105.36,106.56,115.24,117.54
Brazil,98.08,77.9,67.59,63.35,61.13,64.3,63.73,65.83,63.96
Iceland,4.6,4.33,3.61,3.07,2.86,2.89,2.66,2.66,1.9
United Arab Emirates,22.85,18.46,17.44,16.25,12.32,9.04,9.99,16.49,19.73
Kuwait,8.01,16.8,9.83,9.84,5.79,9.41,7.93,6.99,4.74
Hungary,17.43,14.55,7.82,7.52,8.52,14.37,11.9,11.73,12.68
