Country,2000-2002,2003-2005,2006-2008,2009-2011,2012-2013,2014-2015,2016-2017
Turkmenistan,27.0,19.67,15.33,10.67,9.0,8.0,7.5
Croatia,10.33,10.0,9.0,9.0,8.5,8.0,7.5
Norway,5.33,5.0,4.0,4.0,3.0,3.0,2.5
India,353.33,302.67,255.0,210.67,180.0,162.0,147.5
France,10.0,9.0,9.0,9.0,9.0,8.0,8.0
Ecuador,116.33,96.0,85.67,78.0,69.0,64.0,60.0
"Palestine, State of",69.67,63.0,55.67,45.67,38.0,34.5,28.0
Czechia,6.67,5.33,5.0,4.0,4.0,4.0,3.5
Jordan,67.67,62.33,56.33,53.0,51.5,48.5,46.5
Syrian Arab Republic,26.0,25.33,26.0,27.0,28.5,30.0,30.5
Papua New Guinea,241.67,212.67,179.67,168.0,162.0,153.0,146.5
Guyana,224.67,223.0,207.0,181.33,180.0,173.0,169.5
Antigua and Barbuda,43.67,41.67,48.0,44.0,43.5,42.5,42.5
Suriname,215.33,176.33,167.0,148.67,131.5,123.0,120.5
Djibouti,489.0,422.67,338.67,284.67,259.0,251.5,247.0
Armenia,41.33,36.33,34.67,31.33,28.0,27.5,26.0
Haiti,438.33,472.67,474.67,495.33,498.0,490.0,484.5
Viet Nam,65.0,56.67,49.67,47.33,46.0,45.0,43.5
