Country,1987-1993,1994-1996,1997-1999,2000-2002,2003-2005,2006-2008,2009-2011,2012-2013,2014-2015
Türkiye,,,,,,40.0,19.67,30.5,17.5
Belgium,4.67,6.67,8.0,6.0,3.33,6.33,5.67,3.0,4.0
Jordan,,104.0,,,,,49.0,,
Sao Tome and Principe,67.0,,,,,110.0,,,131.0
Angola,,,,,,,,,
Sierra Leone,,,,,,1405.0,,1778.0,
Lithuania,19.0,14.33,14.33,13.33,10.67,5.33,4.0,7.5,6.5
Kiribati,226.0,38.0,51.67,,,,,,
Panama,35.0,51.0,42.33,47.33,45.33,52.0,55.33,57.0,53.0
Germany,6.5,5.67,5.67,4.33,4.33,4.67,5.0,4.0,3.5
Gambia,,,,,,,,595.0,
Hungary,14.33,12.0,10.0,7.67,5.33,11.33,14.33,12.0,6.5
Saudi Arabia,,,25.0,,,,,,
Sweden,5.0,,,,,5.5,2.67,4.5,2.0
New Zealand,14.33,5.67,5.67,9.33,7.33,13.5,11.0,11.0,8.0
