Country,1970-1974,1975-1979,1980-1983,1984-1987,1988-1991,1992-1995,1996-1999,2000-2003,2004-2007,2008-2011,2012-2015
Benin,1.16,1.36,1.56,1.78,2.01,2.27,2.57,2.92,3.3,3.71,4.15
Colombia,4.61,5.24,5.84,6.42,7.01,7.62,8.26,8.91,9.57,10.24,10.92
Bangladesh,1.87,2.21,2.57,2.94,3.37,3.86,4.4,4.98,5.56,6.17,6.78
Egypt,3.24,3.8,4.38,4.96,5.6,6.31,7.02,7.7,8.36,9.04,9.71
Guinea,0.82,0.97,1.12,1.28,1.46,1.66,1.9,2.18,2.49,2.82,3.19
"Iran, Islamic Republic of",3.13,3.85,4.66,5.54,6.58,7.68,8.61,9.42,10.2,10.93,11.62
South Sudan,0.45,0.53,0.62,0.7,0.8,0.92,1.03,1.18,1.33,1.51,1.71
Botswana,3.38,3.98,4.62,5.26,5.99,6.81,7.54,8.19,8.86,9.53,10.2
"Congo, The Democratic Republic of the",2.07,2.4,2.73,3.06,3.42,3.82,4.25,4.72,5.23,5.77,6.36
Türkiye,3.89,4.39,4.88,5.33,5.81,6.32,6.88,7.49,8.13,8.8,9.48
Sierra Leone,0.89,1.09,1.32,1.57,1.87,2.23,2.6,3.01,3.44,3.9,4.38
Croatia,4.97,5.58,6.16,6.7,7.24,7.8,8.36,8.94,9.57,10.22,10.88
Seychelles,4.78,5.44,6.09,6.69,7.32,7.95,8.55,9.15,9.76,10.39,11.02
Angola,1.74,2.03,2.34,2.63,2.97,3.34,3.76,4.21,4.71,5.23,5.78
Rwanda,1.89,2.2,2.53,2.84,3.17,3.53,3.89,4.28,4.7,5.16,5.66
Marshall Islands,4.13,4.7,5.25,5.77,6.32,6.89,7.49,8.12,8.77,9.44,10.12
