Country,2001-2003,2004-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020
Syrian Arab Republic,83.33,81.33,81.0,82.0,62.0,50.0,49.5,56.5,53.5
Czechia,98.0,98.0,98.0,98.0,98.5,97.5,96.0,87.0,84.0
Antigua and Barbuda,,57.0,80.5,93.0,89.5,93.0,76.0,95.0,79.0
Senegal,,,,,,13.0,55.5,60.5,68.5
United Arab Emirates,92.0,93.0,92.5,93.5,95.5,98.5,98.5,96.0,93.0
Brazil,83.0,61.33,52.5,54.0,70.5,79.0,78.5,76.0,49.0
South Africa,50.67,50.67,51.5,59.0,53.5,52.5,64.0,76.5,77.5
Uzbekistan,97.67,81.0,35.0,31.0,99.0,99.0,99.0,99.0,99.0
Germany,80.0,90.0,92.0,93.0,93.0,93.0,93.0,93.0,93.0
Turkmenistan,90.0,95.67,98.5,99.0,99.0,99.0,99.0,99.0,99.0
Bosnia and Herzegovina,87.0,90.33,93.5,89.5,91.0,92.5,83.0,78.0,76.0
Türkiye,90.33,93.0,93.0,89.5,85.5,93.0,85.5,86.5,90.5
Trinidad and Tobago,76.67,80.0,84.0,81.0,84.0,89.5,72.0,91.0,92.0
Mauritius,,81.0,81.5,87.5,89.5,85.0,94.0,97.0,93.0
Cyprus,,,91.0,88.0,88.0,88.0,88.0,88.0,88.0
Iraq,48.33,50.33,70.0,82.0,72.5,62.0,75.5,83.5,89.5
Nigeria,,,,,,,,,10.5
Netherlands,97.0,94.33,92.5,92.5,93.0,92.5,91.5,89.5,90.0
Dominica,86.67,99.0,95.0,95.0,94.0,90.0,93.0,81.0,91.0
Namibia,,,,,,,,41.0,56.0
Nepal,,,,,,,25.0,64.0,75.0
Panama,88.33,88.0,81.0,74.5,76.5,79.0,92.5,96.0,85.5
Poland,96.67,95.0,97.5,94.5,95.0,94.0,93.5,92.5,92.0
Paraguay,,46.0,79.0,77.0,76.5,76.0,79.5,82.5,77.5
United States,86.0,86.0,86.5,88.5,90.5,91.5,93.5,94.0,95.0
El Salvador,77.0,84.67,82.5,80.0,88.0,85.0,87.5,85.5,71.5
Belarus,97.67,97.0,99.0,99.0,98.0,98.5,98.5,98.0,98.0
Norway,89.67,90.67,94.0,96.5,92.5,91.5,91.0,92.0,95.0
