Country,1960-1991,1992-1999,2000-2006,2007-2013,2014-2020
Estonia,3.32,3.12,3.0,3.29,3.5
Czechia,2.3,2.97,3.49,3.61,4.05
Luxembourg,1.45,2.3,2.38,2.76,2.91
Hungary,2.27,3.04,3.03,3.01,3.28
Nepal,0.03,0.05,0.13,0.53,0.82
Uruguay,1.68,3.56,3.75,3.96,4.46
Romania,1.47,1.83,2.14,2.5,2.62
Paraguay,0.57,0.91,1.19,1.38,1.26
Andorra,,2.4,2.95,3.39,3.63
Ethiopia,0.01,0.02,0.03,0.02,0.09
Northern Mariana Islands,,0.44,,,
Russian Federation,4.38,4.47,4.74,4.58,4.04
Samoa,0.39,0.42,0.27,0.41,0.44
chanisl,1.3,,,,
Ecuador,0.58,1.26,1.52,1.79,2.11
United Kingdom,1.16,1.79,2.22,2.64,2.85
Costa Rica,0.7,1.02,1.67,2.28,2.86
South Sudan,,,,,0.04
Tajikistan,2.52,2.07,1.98,1.74,1.71
"Korea, Republic of",0.73,1.15,1.53,1.99,2.35
Antigua and Barbuda,0.58,1.27,,1.15,2.9
Libya,0.8,1.37,1.24,1.84,2.09
Nauru,,1.55,0.97,1.1,1.25
Grenada,0.36,0.54,0.55,,1.3
Finland,2.94,2.52,3.02,3.6,3.69
American Samoa,,0.78,,,
Philippines,0.13,0.86,1.19,1.25,0.71
United States,1.44,2.08,2.64,,3.21
Guyana,0.23,0.21,0.48,0.45,1.6
