Country,1960-1966,1967-1972,1973-1978,1979-1984,1985-1990,1991-1996,1997-2002,2003-2008,2009-2014,2015-2020
Botswana,,,,,,,2689844976.67,4383154599.33,6214999005.0,5790909143.67
Gambia,12477500.0,16610666.67,40051333.33,44571695.69,88281047.91,96674545.15,16313408.97,10862440.67,89472113.33,33375956.67
Cyprus,60728571.43,103779666.67,234114666.67,527684333.33,669626967.18,1080977317.68,762413549.17,1207229017.83,1900028464.5,3518163990.83
Qatar,,398530000.0,1716650000.0,4994194202.33,2579186625.83,3576814463.67,8334963052.5,33920577387.17,103986798288.5,68347435269.5
"Micronesia, Federated States of",,,,,,,7053107.67,5985931.17,17845283.5,121498459.17
Paraguay,41109571.43,60397500.0,198598666.67,306853833.33,616640250.0,841253166.67,1539803016.17,3860590053.67,7610802632.67,8325193498.0
Slovakia,,,,,,7391309870.25,11568182204.0,42216547978.5,75764655173.5,84230285584.67
Senegal,123900000.0,151500166.67,434434000.0,558452003.18,744227182.18,646679697.93,787258188.83,1441566309.5,2235050501.67,3190105291.17
Denmark,1921385714.29,3269075000.0,8955581666.67,15853188333.33,25502492442.67,41088126978.67,51053181042.83,90257912667.67,105303825905.17,103675617571.5
Gabon,76485714.29,147987166.67,930355666.67,1762253833.33,1626538743.0,2530884027.67,2813776317.67,5363031649.83,8138716036.33,4504002768.83
Singapore,166296666.67,1665190000.0,6666805000.0,20326373333.33,35223399953.0,89502169519.83,122527166666.67,249685000000.0,377422833333.33,356664333333.33
Sint Maarten (Dutch part),,,,,,,,,8526860.0,256230850.83
Libya,418100000.0,2096766666.67,7721183333.33,15009078874.33,9169596160.0,9204211663.33,8472433643.17,25476694216.83,55681460559.5,23298100476.17
Trinidad and Tobago,369828571.43,482648333.33,1805203333.33,2926671666.67,1602859252.0,2168058057.67,3131527317.5,12601389806.67,14215368194.83,6309549969.5
French Polynesia,,,,,,,190087477.67,181500853.67,151423484.33,133941466.83
Ukraine,,,,,,8931891407.0,14505803626.67,40555961401.33,57595537389.33,43844470463.5
United Kingdom,12100800000.0,18986366666.67,47354183333.33,96854966666.67,137514333333.33,209421333333.33,275654166666.67,401322000000.0,465727000000.0,443564500000.0
Australia,2647557142.86,4626678333.33,12257840000.0,21534720000.0,30113957296.5,47962521852.17,61258444318.5,118514904291.5,231301333333.33,231372500000.0
Timor-Leste,,,,,,,10416.0,47882108.5,187954577.67,42242522.83
Gibraltar,,,,,,,137020777.0,293800270.67,863106735.17,306019205.67
