Country,1960-1966,1967-1973,1974-1980,1981-1987,1988-1994,1995-2001,2002-2008,2009-2014,2015-2020
Palau,,,,,,0.53,0.0,0.0,0.0
Equatorial Guinea,,,,0.23,5.46,0.01,0.0,0.0,0.0
Albania,,,,29.05,15.74,2.44,1.66,0.42,0.15
Angola,4.37,3.44,4.25,6.26,8.63,1.5,1.48,1.88,1.34
Portugal,5.68,3.67,7.13,6.24,5.27,3.4,1.17,2.94,1.83
Brazil,7.82,7.24,8.48,8.44,6.93,7.52,5.49,4.43,1.37
"Korea, Democratic People's Republic of",,,,2.84,3.11,0.31,2.62,1.68,1.13
Oman,,0.0,2.16,5.67,0.34,0.01,2.15,3.29,3.88
Viet Nam,3.35,4.63,,29.53,34.51,4.12,1.67,0.81,0.01
"Korea, Republic of",6.5,3.15,3.77,4.41,4.75,3.04,0.89,1.86,0.57
Czechia,,,,,4.82,1.46,0.31,0.09,0.09
Saudi Arabia,8.86,7.45,7.28,3.44,0.94,0.34,0.0,0.0,0.01
Mongolia,,,,19.48,13.18,0.15,0.0,0.0,0.0
Norway,5.5,4.07,5.19,3.08,3.66,1.07,0.19,0.13,0.06
Guatemala,2.15,2.01,3.82,5.2,4.84,2.69,1.04,0.67,0.84
Marshall Islands,,,,,,0.96,0.02,0.0,0.0
Congo,25.66,19.06,5.31,5.09,5.88,6.2,0.29,0.35,0.17
Côte d'Ivoire,3.99,8.25,7.15,15.18,9.19,5.56,3.39,1.33,1.27
Bosnia and Herzegovina,,,,,0.89,0.68,5.14,1.83,1.33
South Africa,4.12,4.73,4.9,5.48,7.91,12.28,8.61,7.17,7.26
