Country,1981-1987,1988-1994,1995-2001,2002-2008,2009-2014,2015-2020
Bulgaria,3.16,7.36,25.01,19.16,19.67,15.52
Tuvalu,,,3.18,4.33,9.79,6.72
Syrian Arab Republic,0.93,3.06,9.63,7.27,7.53,9.4
France,0.5,0.98,1.89,2.95,3.96,3.33
Faroe Islands,,2.7,0.13,2.59,6.21,23.07
"Venezuela, Bolivarian Republic of",0.03,0.08,0.13,0.12,0.49,0.32
Tunisia,1.77,1.71,1.06,1.27,1.39,1.39
Slovenia,,9.06,9.91,13.9,15.58,13.36
Sweden,0.56,0.88,2.13,3.31,3.9,3.02
Spain,0.95,0.75,1.85,2.81,3.96,3.39
Palau,,,,0.01,0.02,0.7
Bosnia and Herzegovina,,13.83,4.61,10.28,21.01,20.99
San Marino,,,0.25,0.53,2.11,11.0
Ecuador,0.05,0.29,2.55,3.59,4.4,6.44
Jamaica,0.2,0.97,2.83,3.19,5.56,7.54
"Moldova, Republic of",,70.28,65.34,50.32,45.3,26.75
Czechia,,6.33,4.59,4.54,6.57,5.38
Estonia,,30.6,17.46,9.93,14.26,9.28
Montenegro,,,,31.18,46.02,48.22
