Country,1964-1968,1969-1973,1974-1978,1979-1983,1984-1988,1989-1993,1994-1998,1999-2003,2004-2008,2009-2012,2013-2016,2017-2020
Netherlands,2.87,2.25,2.65,2.47,1.7,1.34,1.15,1.02,1.37,2.0,1.98,1.94
Hong Kong,4.03,3.18,3.24,2.83,1.22,1.29,0.93,0.6,0.5,0.45,0.6,0.68
Macao,20.92,14.57,1.9,0.43,0.17,0.08,0.08,0.03,0.06,0.13,0.02,0.01
South Africa,8.37,6.49,3.26,4.13,3.77,7.21,12.16,13.5,13.44,23.27,28.07,24.74
"Korea, Republic of",0.8,1.27,1.55,2.53,1.38,1.98,1.98,1.63,2.22,2.16,1.73,1.17
Paraguay,0.02,0.08,0.19,1.15,1.42,0.2,0.27,0.16,0.79,1.32,1.12,0.27
Myanmar,1.54,1.12,1.19,2.39,0.63,0.97,0.79,0.32,0.39,1.23,0.1,1.17
Fiji,,0.01,0.01,0.01,0.03,0.02,0.01,0.04,0.2,0.49,0.26,0.13
Timor-Leste,,,,,,,,0.41,9.52,8.71,0.31,0.71
Panama,,0.26,0.25,0.02,0.01,0.01,0.24,0.02,0.06,0.09,0.12,0.08
Serbia,,,,,,,,,0.21,0.51,0.54,0.36
India,3.19,4.14,3.93,3.58,1.53,1.75,3.69,4.08,5.36,6.24,7.8,6.99
Canada,1.0,0.65,0.63,0.61,0.38,0.27,0.21,0.17,0.35,0.48,0.53,0.43
Austria,1.72,1.64,2.37,2.5,1.1,0.76,0.58,0.65,0.78,0.72,0.69,0.66
Madagascar,4.3,5.16,1.03,0.6,0.57,2.42,2.16,1.8,1.83,5.65,5.98,5.44
"Palestine, State of",,,,,,,,,0.02,0.17,0.04,0.02
Dominica,,,,0.01,0.0,0.0,0.0,2.17,1.96,0.62,1.04,1.97
Guinea-Bissau,,6.6,17.91,12.41,5.24,10.4,2.12,6.15,26.59,9.91,18.34,16.18
Vanuatu,,,,,0.13,1.26,3.74,0.39,0.47,16.11,13.86,0.3
San Marino,,,,,,,,0.0,0.04,0.03,0.1,0.16
Ireland,0.7,0.83,1.8,1.79,1.36,0.84,0.94,0.75,0.76,0.9,0.98,0.72
Eswatini,,,,,,,,79.0,76.2,73.8,82.45,91.05
