Country,1966-1970,1971-1975,1976-1980,1981-1985,1986-1990,1991-1995,1996-2000,2001-2005,2006-2010,2011-2015,2016-2020
Canada,1.82,1.57,1.89,2.87,2.58,3.26,4.0,5.24,7.05,8.61,8.66
Bosnia and Herzegovina,,,,,,0.01,0.39,1.37,2.03,2.24,1.73
Gibraltar,,,,,,,0.39,0.24,0.09,0.11,0.68
Czechia,,,,,,0.71,0.81,0.8,0.24,0.27,0.35
Saudi Arabia,0.06,0.12,0.37,1.02,1.44,1.81,2.64,2.93,3.57,3.63,3.24
North Macedonia,,,,,,0.89,2.53,1.95,1.95,2.09,1.38
Malawi,,0.02,,,,0.29,0.58,1.3,0.63,0.75,1.03
Georgia,,,,,,0.0,1.07,1.57,1.82,1.79,1.99
Bhutan,,,,,,,0.02,0.04,0.06,0.0,0.01
Egypt,1.13,0.62,1.5,2.2,1.95,2.76,4.05,5.81,4.77,5.89,4.39
Grenada,5.76,6.75,11.86,8.49,7.7,7.65,5.5,7.35,9.29,7.88,7.41
Israel,1.51,1.23,1.04,1.22,0.68,0.77,0.77,1.24,1.56,0.9,0.95
Norway,3.25,2.77,2.71,2.21,1.9,1.78,1.99,2.15,2.3,2.58,2.59
Faroe Islands,0.03,0.0,0.02,0.06,0.18,0.38,0.18,0.83,1.71,1.23,1.18
Greece,2.65,1.55,1.76,1.0,1.38,1.21,0.95,0.91,0.88,0.97,1.09
Honduras,26.3,15.05,17.69,18.7,17.81,21.04,21.64,28.04,33.75,32.24,31.42
"Iran, Islamic Republic of",0.54,1.53,0.89,4.35,6.4,3.84,7.46,4.19,1.53,1.44,2.23
Lebanon,1.14,1.77,,1.76,1.93,1.78,1.73,1.83,2.9,2.73,3.23
Guatemala,22.56,24.09,19.46,24.43,19.8,21.53,25.08,23.63,28.31,29.05,28.54
Slovakia,,,,,,0.92,0.62,0.43,0.13,0.1,0.17
South Africa,,,,,,,2.3,3.57,4.4,3.25,3.23
