Country,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2017,2018-2020
Latvia,4183.0,2661.53,2268.11,2173.48,2139.25,2045.32,2066.96,1977.8
Burkina Faso,6414.49,7219.71,8018.07,10133.92,11390.16,12806.61,13966.45,15023.46
Mexico,103604.54,111705.15,116241.52,125590.21,131203.9,132541.24,141207.36,142751.42
India,534535.62,559807.92,590967.37,604231.78,643683.17,665037.79,681029.51,696526.67
Papua New Guinea,4381.63,7559.79,7074.21,6470.78,6163.07,7543.92,10517.26,10851.27
Uruguay,19390.02,20769.03,20204.48,21502.75,22580.98,21308.87,21506.68,20689.86
Zimbabwe,8812.18,9502.78,11572.82,11110.32,11344.42,12428.83,11884.19,12272.75
Saint Vincent and the Grenadines,65.88,67.53,68.03,67.61,68.57,68.6,67.0,67.56
China,776169.37,831759.33,807283.49,844484.21,978775.33,1106838.53,1130086.42,1165556.1
Suriname,862.55,977.6,1022.53,953.47,1097.59,1327.14,1384.28,1393.94
Viet Nam,45965.01,52749.75,63491.02,71427.49,79626.47,83399.73,83148.76,80690.83
Tonga,123.71,111.55,89.49,86.56,87.53,88.83,90.94,92.05
Iceland,518.83,555.26,577.99,574.44,608.21,565.21,552.64,526.1
Ecuador,19603.0,23392.1,23495.3,26494.03,28024.23,29029.69,28503.88,27797.49
Tunisia,5321.43,5362.52,6248.7,6469.93,7133.63,7407.03,7021.11,6715.9
Kenya,17888.84,17254.54,17304.03,19016.51,27137.35,29737.66,31051.31,35499.11
Ireland,15720.77,15979.02,16735.92,16805.27,15408.65,14743.79,16215.21,15220.23
Sweden,8555.79,8334.3,7763.78,7059.97,6265.52,5729.94,5212.47,4871.82
New Zealand,32511.06,33460.66,33029.53,33838.75,33684.16,33719.5,33364.28,32531.58
