Country,1990-1995,1996-2000,2001-2005,2006-2010,2011-2015,2016-2020
Jordan,54.07,76.16,117.48,273.16,150.2,385.72
Czechia,11111.47,8905.25,6807.81,6666.02,5722.26,4955.42
Madagascar,637.6,753.72,837.24,943.5,1023.56,1445.86
El Salvador,319.79,297.54,134.23,144.71,115.74,92.34
Azerbaijan,8444.43,2634.6,3589.4,8493.34,8840.08,8283.54
Ecuador,5220.63,6353.74,7753.88,8255.04,8418.22,7986.54
Botswana,164.18,181.32,181.92,167.76,156.98,155.6
Jamaica,41.73,48.38,49.53,48.14,52.72,51.61
Albania,295.76,93.89,81.2,78.87,71.15,61.18
Belize,0.0,0.0,0.0,117.23,133.3,93.95
Croatia,713.48,647.5,654.99,673.97,611.63,579.5
Armenia,1683.9,854.19,644.27,786.47,924.11,982.4
Tunisia,2185.93,2085.6,2092.86,2580.58,2658.38,1955.82
Maldives,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0
Zimbabwe,1986.78,2352.87,2471.69,2493.73,2676.54,3017.14
