Country,1990-1993,1994-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2016,2017-2019,2020-2022
Afghanistan,,,,14.41,10.83,6.67,4.21,3.88,4.97
Honduras,5.73,,3.29,3.05,3.35,4.55,6.04,6.28,5.46
"Korea, Republic of",,18.99,14.71,12.52,12.41,12.87,12.69,12.14,10.83
Lesotho,8.77,7.02,7.09,5.68,3.94,3.97,3.65,3.91,2.95
"Tanzania, United Republic of",9.82,8.61,9.34,5.72,4.11,4.78,6.24,6.29,6.0
Latvia,,,2.24,4.71,4.37,2.55,3.09,5.05,5.07
Albania,,4.42,3.79,4.57,5.64,5.17,3.94,4.07,4.32
Cameroon,,,7.89,8.87,8.84,6.94,5.55,5.87,5.73
Libya,,11.69,10.58,5.0,3.16,7.68,10.91,,
Japan,2.99,2.71,2.55,2.71,2.65,2.48,2.51,2.59,2.4
Czechia,,3.72,4.32,4.03,3.32,2.5,2.34,2.65,2.98
Congo,11.39,,6.16,8.12,6.67,6.03,9.98,11.24,11.24
Kuwait,41.33,22.29,17.82,16.94,9.97,8.68,9.42,10.5,11.4
France,5.29,4.57,4.09,3.89,3.65,3.33,3.31,3.34,3.31
Kenya,6.93,5.59,6.21,7.29,7.24,6.49,5.03,4.8,4.29
Gambia,,,2.99,2.34,4.5,4.26,5.7,3.33,3.28
Italy,3.12,3.06,3.56,3.56,3.13,2.89,2.55,2.77,3.12
Kazakhstan,,,,4.76,4.85,4.79,4.62,4.31,3.29
Romania,10.61,8.4,7.65,6.56,4.31,3.51,4.23,5.54,5.06
Cambodia,,22.43,16.11,9.17,6.51,7.26,8.53,9.35,8.19
