Country,1960-1980,1981-1989,1990-1998,1999-2006,2007-2014,2015-2022
Malta,0.0,0.0,9121.44,241883.75,473585.62,618677.88
Sudan,0.0,0.0,1622.22,1052185.25,20226494.12,31483409.62
Saint Lucia,0.0,0.0,1070.67,54133.62,192867.38,170221.86
Uzbekistan,0.0,0.0,6522.33,565463.62,18036465.62,28758296.75
Malaysia,0.0,10549.89,894924.56,11161683.75,35122787.5,44474812.5
Luxembourg,0.0,212.67,32289.56,453316.0,744444.75,813668.57
"Korea, Republic of",0.0,11059.43,3074418.0,32545557.38,50848753.5,67437362.62
"Tanzania, United Republic of",0.0,0.0,7894.33,1607110.88,21487918.62,47037885.88
Morocco,0.0,96.11,32190.0,7346983.38,32780830.12,46703494.12
Guinea-Bissau,0.0,0.0,0.0,37110.12,733015.25,1728997.75
Russian Federation,0.0,0.0,176401.67,51315555.25,211201124.88,235438756.5
Jamaica,0.0,0.0,32866.56,1253021.0,2882216.12,3033253.62
Nepal,0.0,0.0,0.0,204744.5,12076133.12,35719029.57
American Samoa,0.0,0.0,916.67,2055.67,,
Guam,0.0,0.0,4161.22,54683.33,,
Japan,0.0,126757.67,14955733.33,81750806.25,129618886.0,183721358.62
