Country,1973-1976,1977-1980,1981-1984,1985-1988,1989-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007
Netherlands,10.68,3.14,3.39,3.12,6.86,14.57,23.59,13.69,12.51,14.5
Japan,8.59,7.52,1.86,1.59,1.62,3.92,5.12,7.93,4.94,8.05
France,0.45,0.76,2.74,5.94,11.02,14.02,11.09,15.08,14.36,15.66
New Zealand,2.34,4.71,4.95,1.44,6.4,8.27,,9.52,8.33,7.31
Spain,,,,,1.87,6.53,11.4,12.39,10.51,14.66
Austria,1.87,,,3.61,5.12,2.75,4.55,9.86,7.52,7.18
Germany,2.47,2.99,4.32,4.13,5.02,4.13,12.17,15.53,16.73,17.63
Italy,3.99,3.61,14.8,7.12,7.19,6.97,11.48,16.85,31.36,18.6
Sweden,2.69,4.18,11.11,4.22,5.71,10.64,11.55,13.19,14.12,14.48
Portugal,,,,,,0.67,4.51,24.42,6.26,8.25
Switzerland,4.52,7.0,4.82,3.7,20.9,27.62,25.67,41.66,35.04,26.45
Finland,4.81,2.87,,2.63,10.93,27.68,21.88,23.41,16.62,19.7
Belgium,9.23,3.36,0.34,3.35,28.57,18.61,16.27,9.27,10.27,6.97
Canada,2.73,5.89,5.78,5.65,9.62,13.63,13.19,16.67,11.65,11.08
Greece,,,,,,,4.22,3.42,5.27,8.69
Australia,2.27,12.0,2.26,2.38,2.72,5.04,9.9,11.77,20.81,19.45
United Kingdom,1.23,2.75,0.42,1.19,,5.77,6.77,9.33,3.85,7.11
Ireland,,,,3.07,7.77,4.41,7.08,4.08,4.17,6.0
Luxembourg,,,,,,6.63,3.77,3.04,15.08,12.53
United States,10.87,2.81,10.88,0.54,1.55,1.66,12.82,12.89,15.72,7.45
Denmark,3.02,1.72,0.71,3.52,7.85,14.61,16.21,11.79,8.72,10.84
Norway,6.5,6.16,6.88,10.68,12.8,20.35,16.42,9.98,11.74,14.33
