Country,1970-1978,1979-1987,1988-1995,1996-2003,2004-2011,2012-2019
United Arab Emirates,1907756.52,9006663.8,19277837.49,32652649.4,41480465.39,49905935.32
Peru,446122.95,531411.82,358661.6,325712.72,3487832.53,11119819.91
Norway,1598282.96,21303676.48,22707435.57,44311998.57,80753717.31,98970404.07
Denmark,0.0,565969.85,3509251.43,7020188.84,8156373.51,4063244.78
Ukraine,,32056994.36,19436621.2,14241583.58,17044451.43,16799711.0
United Kingdom,25752333.37,33839111.15,48012566.52,87769874.96,63462295.28,34182802.08
Canada,58610918.6,63979425.89,102643726.74,146419470.12,143182394.67,142037248.58
Saudi Arabia,2178501.48,12777667.91,29772248.5,41152031.38,63674811.91,88799655.55
Viet Nam,0.0,24062.77,106674.82,1181461.2,6023056.21,8367215.86
Iraq,897176.84,1047568.55,2953944.54,2271872.31,3761338.34,7481943.52
Brunei Darussalam,3398993.26,7200999.57,8163633.92,9623618.87,10239979.07,10906636.9
Italy,11807029.23,11568641.92,14835519.67,14021825.89,8208014.8,5311243.49
Malaysia,370587.69,6674666.65,18783375.01,39007374.93,57001373.45,64712877.68
India,848130.42,3015284.36,11326419.43,20918137.48,28988135.18,25204804.77
Mexico,11020251.05,22642488.91,23112634.05,28392991.46,40814719.33,38014388.7
Brazil,312836.8,1608639.61,3359175.71,6614086.92,11236452.72,20552490.6
Bangladesh,511222.2,1808723.24,4437134.57,7713618.81,13893203.34,21549528.49
United States,473050731.72,411409411.03,417844069.28,443768046.87,463492026.34,642747220.52
