Country,1971-1977,1978-1984,1985-1991,1992-1997,1998-2003,2004-2009,2010-2015,2016-2021
Germany,0.04,0.06,0.02,0.01,0.02,0.03,0.03,0.01
Fiji,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timor-Leste,,,,,0.0,,54.9,34.05
Algeria,0.48,1.5,2.23,4.03,5.7,4.04,3.17,4.54
Hong Kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.09,0.16,0.2,0.34,0.46,0.39,0.4,1.11
Kenya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicaragua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guyana,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Montenegro,,,,,,0.0,0.0,0.0
Lesotho,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Finland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt,0.02,0.23,0.46,0.62,0.92,2.24,1.41,1.41
Romania,,,0.97,0.95,0.74,0.53,0.57,0.28
Bulgaria,,0.02,0.0,0.01,0.0,0.04,0.05,0.01
Yemen,,,0.08,0.1,0.08,0.06,1.78,0.04
Saint Kitts and Nevis,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Moldova, Republic of",,,,0.0,0.0,0.02,0.0,0.0
Nauru,,,,,,,0.0,0.0
Chad,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
