Country,1961-1966,1967-1972,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017,2018-2022
Saudi Arabia,-0.12,0.03,0.01,0.01,0.03,0.02,0.01,0.01,-0.0,,,
Armenia,,,,,,1.12,13.11,10.72,4.97,2.85,2.59,1.59
Nepal,2.49,2.1,3.26,6.68,8.07,10.6,7.99,5.81,5.57,4.13,4.27,4.13
Malta,,5.86,5.79,3.26,1.26,0.14,1.04,0.4,,,,
Mexico,0.19,0.08,0.03,0.05,0.11,0.08,0.08,0.01,0.02,0.04,0.05,0.05
Kiribati,,,,37.04,46.7,35.33,14.25,14.59,13.49,16.31,19.46,17.46
Belarus,,,,,,,,,0.19,0.2,-0.01,0.27
Fiji,3.68,3.56,3.13,3.12,2.92,3.93,2.53,1.87,2.05,2.19,2.41,6.44
Philippines,0.76,1.01,1.15,0.87,1.64,2.06,1.21,0.64,0.5,0.08,0.11,0.3
kos,,,,,,,,,,10.73,6.79,4.84
Trinidad and Tobago,1.18,0.64,0.16,0.05,0.3,0.14,0.37,0.09,0.02,0.03,,
Montenegro,,,,,,,,,1.53,2.17,2.29,2.52
Kazakhstan,,,,,,,0.35,0.92,0.53,0.18,0.05,0.04
Sudan,1.51,1.12,4.24,7.08,9.92,4.81,2.92,1.86,4.15,3.95,2.32,6.41
Panama,2.49,1.38,1.06,0.55,0.7,1.32,0.6,0.25,0.06,0.27,-0.05,0.15
Cambodia,,,4.69,17.69,2.68,4.66,11.69,9.33,7.85,5.98,4.52,4.71
"Venezuela, Bolivarian Republic of",0.23,0.13,0.0,0.01,0.03,0.1,0.05,0.05,0.05,0.02,0.01,
Guyana,4.09,6.29,3.14,6.42,4.78,33.0,20.06,9.3,8.57,3.17,1.93,1.73
Guinea,,0.25,0.31,0.94,3.12,8.94,7.27,5.7,4.6,4.61,6.01,4.55
