Country,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Russian Federation,1.43,5.9,0.74,3.3,-0.64,3.43,3.29
Ukraine,0.24,0.97,3.67,0.91,5.52,0.92,-0.16
Armenia,1.27,0.77,2.05,1.05,1.04,1.87,2.1
Peru,1.79,1.23,0.06,1.34,-1.71,-3.93,-1.21
"Bolivia, Plurinational State of",0.24,0.97,,,,,
Spain,0.3,1.72,1.23,4.26,1.18,1.69,3.05
Mexico,,,-0.63,-0.43,0.55,0.73,-0.06
Samoa,,,,-0.08,-0.24,0.7,2.7
Equatorial Guinea,,19.06,2.46,-2.68,-1.5,,
Iceland,0.25,10.09,15.05,-0.66,-0.36,-1.88,-0.2
Slovakia,-3.24,-2.84,-0.52,2.17,-1.08,0.17,3.66
Belize,3.51,-2.77,0.38,0.39,,,
Cabo Verde,,-0.43,0.81,-1.18,-3.6,1.23,0.85
Rwanda,,,,,1.83,2.29,6.14
Timor-Leste,,,186.36,228.95,14.26,0.87,-2.08
Afghanistan,,0.75,1.26,1.13,-0.54,0.75,
"Congo, The Democratic Republic of the",-0.73,-0.64,1.0,0.63,-0.74,-0.25,0.05
Colombia,4.58,,-0.76,2.2,-0.78,0.6,1.2
Brazil,,,4.91,2.05,0.38,0.19,-0.16
Lithuania,,,,,,,
Saint Vincent and the Grenadines,5.61,3.63,1.46,,,,
Marshall Islands,,,3.97,-3.19,1.76,1.88,4.93
Liberia,,1.22,0.22,,,,
Nepal,-1.24,-0.45,0.37,-0.4,2.57,-0.03,3.06
Barbados,-1.36,1.18,2.26,3.06,2.05,,
Tajikistan,,,,,,,0.15
Saint Kitts and Nevis,5.64,3.4,0.48,,,,0.03
