Country,1977-1984,1985-1988,1989-1992,1993-1996,1997-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Suriname,,,,,,,,110000.0,320000.0,153333.33,126666.67,30000.0
Guatemala,10000.0,10000.0,23333.33,66666.67,15000.0,20000.0,85000.0,460000.01,690000.02,273333.33,303333.33,10000.0
Turks and Caicos Islands,,,,,,,10000.0,,,,,
Madagascar,546666.65,490000.01,10000.0,25000.0,10000.0,,10000.0,80000.0,829999.96,276666.67,470000.01,166666.67
Ukraine,,,,75000.0,,,,,1075000.0,150000.0,166666.66,15389999.59
Bangladesh,21164999.6,8190000.18,15344999.91,16277499.91,16339999.83,19813333.19,19766667.37,45590000.15,97446667.99,56266667.68,53483334.86,85893333.44
Jordan,287499.99,544999.99,682500.0,87500.0,25000.0,30000.0,30000.0,469999.99,1873333.35,4710000.12,14723333.36,8256666.74
Tuvalu,785000.01,2472499.97,1702500.02,2524999.98,1280000.03,2309999.98,3150000.02,5079999.92,11073333.42,6880000.11,7436666.49,9076666.83
Belize,25000.0,17500.0,25000.0,10000.0,,,20000.0,709999.98,560000.02,260000.01,126666.67,
Macao,,,,10000.0,,30000.0,,,,,,
Solomon Islands,5512500.05,7859999.9,10777499.91,9142499.92,13663333.57,63676668.8,163753336.59,202873331.71,225406667.07,123166666.67,117403333.03,113263333.64
Yemen,43333.33,30000.0,,45000.0,,,,1420000.02,3786666.71,643333.34,9466666.7,5485000.13
Benin,,,,,,,,270000.0,316666.66,40000.0,20000.0,
Syrian Arab Republic,30000.0,40000.0,10000.0,10000.0,,,,449999.99,28923332.53,7676666.74,17583333.97,7196666.8
Morocco,,80000.0,,10000.0,,,,,599999.99,143333.33,26666.67,16666.67
Gabon,,,,,,,,,90000.0,10000.0,,
Lesotho,290000.0,185000.0,1225000.02,622500.0,146666.67,263333.33,203333.33,633333.33,1250000.0,976666.65,756666.66,136666.67
Tajikistan,,,,10000.0,23333.33,30000.0,,50000.0,569999.99,110000.0,66666.67,143333.34
Turkmenistan,,,,,25000.0,30000.0,,,,,,30000.0
Singapore,2362499.98,4514999.99,1685000.0,310000.0,136666.67,363333.34,,,,,,
Guinea,,,30000.0,,,220000.0,,,243333.33,56666.67,43333.33,20000.0
El Salvador,45000.0,50000.0,53333.33,143333.33,10000.0,,30000.0,,630000.01,230000.01,770000.02,10000.0
Romania,,,165000.0,140000.0,,,,,,,,
Philippines,13529999.97,18007500.17,31017499.92,43537499.9,36770000.46,32470001.22,54296666.46,91739997.86,143763333.64,92793334.96,52846666.97,63139999.39
Jamaica,280000.0,132500.0,60000.0,65000.0,,,65000.0,370000.0,690000.0,240000.0,273333.33,23333.33
"Korea, Democratic People's Republic of",,,,225000.0,5870000.04,2463333.29,4296666.78,2693333.38,2956666.66,3635000.11,,
"Korea, Republic of",387499.99,707500.0,432499.99,96666.67,190000.0,213333.33,,,,,,
