Country,1973-1977,1978-1982,1983-1987,1988-1992,1993-1997,1998-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2022
Cuba,200000.01,980000.01,10000.0,140000.01,487999.99,1813999.96,3002500.0,4347500.03,3307500.0,8112500.19,3650000.05
Nepal,30000.0,46000.0,1227999.96,176000.0,621999.98,767999.98,400000.0,1205000.03,207500.0,685000.0,205000.0
Equatorial Guinea,,20000.0,52500.0,146000.0,180000.0,,,,145000.0,,
Belarus,,,,,40000.0,,13333.33,97500.0,40000.0,5000.0,155000.0
Cyprus,152500.0,90000.0,,80000.0,80000.0,267500.0,120000.0,,,,
Pakistan,3923999.95,2898000.06,1013999.98,64000.0,-1045999.98,224000.0,1532499.94,4777500.03,4575000.08,7500.0,70000.0
Bahrain,,,,,,,20000.0,,,,
Palau,,,,,,,,,,85000.0,
Afghanistan,20000.0,50000.0,30000.0,33333.33,284000.0,3566666.69,5690000.0,13665000.2,9935000.18,1922500.01,2820000.01
Ukraine,,,,,439999.99,40000.0,850000.01,304999.99,102500.0,3537499.96,18477500.38
"Venezuela, Bolivarian Republic of",391999.99,747999.99,226000.0,602000.0,768000.01,478000.0,524999.99,287500.01,135000.0,10000.0,6666.67
Algeria,1499999.98,3556000.04,1811999.99,9960000.06,5737999.94,3501999.97,10792500.02,11154999.97,6992499.95,2780000.08,2427499.92
Myanmar,,10000.0,10000.0,20000.0,16666.67,,80000.0,650000.01,2909999.91,165000.0,80000.0
Romania,,,,330000.01,1215999.99,548000.0,1250000.0,,,,
Trinidad and Tobago,28000.0,65000.0,,83333.33,22000.0,10000.0,,,,,
Singapore,,33333.33,10000.0,,12500.0,10000.0,,,,,
Malta,10000.0,,,,20000.0,,,,,,
Niger,2185999.97,7236000.06,5315999.98,4750000.0,5540000.06,8086000.06,13337500.1,24722500.09,20902499.68,20522500.04,26147500.04
Suriname,33333.33,378000.0,1057999.99,2855999.97,2865999.98,2537999.94,1194999.99,1602500.01,2052500.01,1400000.01,417500.0
Cambodia,100000.0,608000.01,286000.0,850000.02,3741999.96,2907999.99,8700000.05,10457499.86,5352499.96,3892499.92,4004999.94
Hungary,,,,2150000.04,1999999.99,390000.01,405000.0,,,,
Türkiye,1676000.01,5961999.9,4562000.08,3546000.0,-2886000.02,-3657999.93,3802499.95,-5745000.12,-3727499.96,21015000.76,10420000.08
Maldives,,,,,13333.33,820000.0,705000.0,680000.01,-769999.98,-200000.0,
Cabo Verde,246666.66,1199999.99,1950000.02,3352000.0,2978000.03,634000.0,887500.0,317500.0,293333.33,-26666.67,2406666.61
Burkina Faso,792000.0,1500000.02,1781999.97,2316000.06,6456000.04,10118000.13,15392499.92,14347499.85,11367500.07,13610000.13,33630000.11
