Country,1966-1974,1975-1980,1981-1986,1987-1992,1993-1998,1999-2004,2005-2010,2011-2016,2017-2022
Jamaica,2627142.87,6110000.09,16224999.9,30389999.39,7330000.04,9176666.66,5175000.03,6163333.42,5828333.38
Trinidad and Tobago,1272857.16,416666.66,393333.35,1263333.33,458333.33,721666.66,1126666.67,,
Paraguay,295000.0,-20000.0,208333.33,288333.33,251666.67,821666.65,1831666.67,613333.33,488333.33
Brunei Darussalam,10000.0,,,126000.0,165000.0,,,,
Côte d'Ivoire,2364285.8,8290000.12,7351666.73,10411666.71,17539999.88,20161667.35,11310000.26,27731667.6,13053333.4
Kyrgyzstan,,,,,112000.0,503333.34,638333.33,771666.67,1189999.99
Grenada,310000.0,655000.01,2255000.0,2588333.3,93333.33,686666.66,2101666.68,168000.0,571666.67
Kenya,2344285.74,8141666.65,28961666.74,19013333.48,7861666.76,8301666.74,25331666.63,42173333.49,35429999.03
Bulgaria,,,,40000.0,74000.0,969999.97,,,
Zimbabwe,94285.71,35000.0,10548333.33,20323333.42,9818333.31,6843333.24,15345000.11,10740000.25,5394999.92
Singapore,531428.57,105000.0,671666.67,574999.99,541666.67,230000.0,,,
Chile,358571.44,-170000.0,2258333.32,3266666.69,1836666.66,1696666.66,2831666.67,1805000.01,3140000.1
Marshall Islands,,,,,,,120000.0,100000.0,292000.0
Ukraine,,,,2684999.94,14296666.62,15891666.57,17871666.75,103989999.45,349676651.0
Morocco,2450000.01,3581666.63,4716666.74,21398333.63,6438333.27,4045000.08,7049999.95,5918333.41,5915000.04
Sierra Leone,181666.67,153333.33,726666.67,388333.34,1183333.3,3005000.0,10656666.76,6996666.73,3878333.27
Türkiye,1891666.72,3024999.98,3651666.84,-323333.34,471666.66,195000.0,-2273333.31,2923333.33,-443333.32
"Venezuela, Bolivarian Republic of",,,86000.0,780000.01,1233333.35,1068333.31,929999.98,286666.66,7010000.17
Malaysia,2357142.87,1776666.68,1521666.67,6196666.72,4561666.69,958333.33,488333.34,55000.0,421666.66
Mauritius,85714.28,146666.66,168333.33,253333.34,221666.67,218333.33,513333.32,72000.0,250000.0
Togo,838571.43,3021666.62,2763333.37,1234999.99,446666.66,1588333.33,5956666.51,1855000.0,3149999.98
Saint Kitts and Nevis,239999.99,343333.34,690000.0,1710000.01,78000.0,55000.0,1296666.68,110000.0,
Dominica,500000.0,751666.66,3315000.0,2813333.32,968333.32,423333.34,1458333.35,90000.0,2004999.97
Maldives,10000.0,,45000.0,168333.33,65000.0,183333.33,2031666.67,183333.33,320000.01
Antigua and Barbuda,170000.0,1446666.69,1446666.65,1834999.98,178000.0,53333.33,1066000.01,24000.0,188000.0
Botswana,4275714.29,3083333.41,4468333.28,8561666.73,1063333.34,566666.69,1668333.33,933333.32,309999.99
Burundi,122000.0,41666.67,935000.01,1066666.68,2658333.3,2781666.72,5258333.37,3813333.27,5245000.04
