Country,2005-2007,2008-2010,2011-2013,2014-2016,2017-2018,2019-2020,2021-2022
Niger,209999.99,36666.67,35000.0,80000.0,690000.0,1084999.98,794999.99
Costa Rica,100000.0,140000.0,10000.0,15000.0,15000.0,0.0,0.0
India,566666.65,173333.33,73333.33,13333.33,75000.0,105000.0,160000.0
Guinea-Bissau,15000.0,25000.0,,,,,
Côte d'Ivoire,33333.33,36666.67,13333.33,,1149999.98,,
Mongolia,3266666.65,6523333.39,4189999.98,2106666.68,1125000.03,349999.99,220000.0
Congo,30000.0,60000.0,50000.0,10000.0,10000.0,0.0,
Botswana,,,,,,10000.0,
Guyana,,,,30000.0,,,
Lebanon,346666.66,193333.33,156666.66,406666.67,680000.01,1170000.02,1515000.05
Ukraine,3203333.3,3746666.75,2783333.3,3189999.98,3259999.99,3139999.99,19414999.96
"Bolivia, Plurinational State of",170000.0,110000.0,60000.0,33333.33,20000.0,10000.0,10000.0
Bhutan,20000.0,,10000.0,30000.0,,,
Paraguay,133333.34,216666.67,106666.67,30000.0,25000.0,,15000.0
Philippines,349999.99,536666.65,233333.33,173333.33,155000.0,239999.99,75000.0
Zambia,546666.67,1016666.63,883333.33,723333.34,1800000.01,2769999.98,3755000.11
Honduras,30000.0,36666.67,66666.67,10000.0,20000.0,25000.0,
Eritrea,10000.0,,56666.67,,,,
