Country,1991-1994,1995-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Tajikistan,0.0,55000.0,210000.0,180000.0,200000.0,910000.04,630000.01,593333.32,1663333.34,4586666.82
India,95000.0,110000.0,260000.0,823333.34,1809999.96,1440000.02,620000.0,443333.34,1526666.7,4800000.11
"Palestine, State of",190000.0,1130000.04,355000.0,1586666.68,1276666.66,5703333.46,4266666.65,5553333.44,6543333.37,3713333.37
Palau,10000.0,70000.0,80000.0,83333.33,36666.67,40000.0,93333.33,130000.0,346666.67,539999.99
Afghanistan,150000.0,60000.0,,15813333.99,4540000.12,40596666.81,76300001.14,56773333.23,30259999.59,23903333.03
Zimbabwe,20000.0,67500.0,36666.67,160000.0,216666.66,1786666.67,1670000.02,2899999.94,1490000.01,1599999.98
Burundi,106666.67,40000.0,30000.0,30000.0,163333.33,40000.0,226666.66,679999.99,456666.67,746666.66
Belize,60000.0,26666.67,50000.0,160000.0,276666.66,76666.67,313333.33,226666.66,113333.34,186666.66
Benin,219999.99,72500.0,20000.0,70000.0,103333.33,870000.02,123333.33,150000.0,96666.67,266666.68
Ukraine,96666.67,320000.0,346666.67,830000.0,1630000.0,2043333.37,680000.0,933333.32,773333.33,27183334.03
Cameroon,267500.0,350000.0,223333.33,450000.0,423333.34,1163333.32,8996666.75,13103333.47,17533333.46,20100000.06
Turkmenistan,,27500.0,10000.0,15000.0,20000.0,430000.0,373333.33,156666.67,1900000.03,1120000.02
Lebanon,60000.0,92500.0,63333.33,463333.32,2250000.06,3246666.71,1126666.68,1450000.01,2249999.98,4060000.02
Mexico,47500.0,47500.0,100000.0,630000.01,466666.68,746666.67,400000.0,506666.67,1239999.99,3603333.43
"Congo, The Democratic Republic of the",225000.0,106666.67,23333.33,36666.67,756666.66,3446666.72,6376666.55,10440000.22,25343333.24,15996666.59
Haiti,115000.0,126666.67,40000.0,130000.0,103333.33,2230000.0,2686666.65,1589999.97,3319999.93,1543333.33
Sri Lanka,3507499.99,5584999.8,10740000.09,11149999.94,29706665.67,26423333.49,46593334.2,34153332.39,21446666.72,11706666.95
Namibia,170000.0,85000.0,10000.0,93333.33,20000.0,70000.0,26666.67,103333.34,303333.33,346666.67
Papua New Guinea,459999.99,417500.0,1870000.01,-36666.68,-36666.67,-63333.33,496666.68,1636666.66,1036666.65,1596666.63
Togo,66666.67,60000.0,25000.0,125000.0,223333.33,73333.33,140000.0,340000.0,643333.32,1433333.29
Cabo Verde,50000.0,36666.67,20000.0,40000.0,,,,20000.0,150000.01,280000.0
Zambia,195000.0,162500.0,35000.0,76666.67,456666.65,740000.01,343333.33,250000.0,2333333.37,1326666.67
Iraq,60000.0,107500.0,23333.33,37576667.07,86749997.46,9396666.84,8603333.16,14820000.33,16883333.21,13389999.71
Oman,46666.67,10000.0,40000.0,66666.67,86666.67,100000.0,,,,
Grenada,37500.0,30000.0,25000.0,63333.33,136666.67,20000.0,83333.33,70000.0,135000.01,90000.0
