Country,1971-1979,1980-1988,1989-1997,1998-2005,2006-2013,2014-2022
Cuba,2393333.31,598888.88,382500.0,1667500.01,153750.0,-237500.0
Vanuatu,16000.0,60000.0,10000.0,,,120000.0
Syrian Arab Republic,690000.0,403333.33,487777.78,2336249.98,9441250.04,24067499.97
Sri Lanka,9585000.2,24816666.82,14566666.5,18650000.04,7179999.97,160000.0
Estonia,,,730000.0,560000.0,,
Afghanistan,512222.22,985000.0,12869999.89,56499998.93,100998748.78,50178750.04
Samoa,183333.34,304444.44,136250.0,110000.0,,
Malaysia,567777.78,819999.99,1696666.67,518750.01,105000.0,
Argentina,719999.98,1680000.01,1925555.55,337499.99,175714.28,150000.0
Latvia,,,887500.0,733333.32,,
Uruguay,204444.44,682222.22,1524444.42,91428.57,43333.33,
Tunisia,4644444.45,3688888.89,2225555.53,-1083750.05,-367500.0,8013749.99
Viet Nam,6451111.07,5305555.65,13756666.54,33402499.56,30359999.97,230000.0
Hungary,,,5703999.95,1515714.28,,
Madagascar,340000.0,735555.55,1457777.79,1331250.02,4140000.05,
Liberia,586666.67,848888.88,4401111.17,5188749.94,14153999.64,3424999.98
Uganda,991111.1,6213333.36,21499999.87,49778750.42,49271249.18,29853749.51
Comoros,233333.33,174285.72,660000.0,30000.0,389999.99,
Timor-Leste,,175000.0,,1265999.97,230000.0,155000.0
