Country,1980-1987,1988-1992,1993-1997,1998-2002,2003-2007,2008-2012,2013-2017,2018-2022
Paraguay,20000.0,266000.0,600000.01,1288000.01,762000.0,1107999.98,899999.99,354999.99
Somalia,1176000.01,1879999.96,7408000.09,15296000.1,36387999.73,45665999.6,55003999.33,64812001.04
Ethiopia,8593999.86,23254000.09,22671999.93,23789999.77,37045999.91,35178000.64,56304000.09,80041999.82
Bangladesh,28782000.35,38749999.24,36642000.58,23924000.17,26048000.34,17662000.08,8309999.9,15276000.02
Romania,,826666.67,366000.0,337999.99,625000.0,,,
Togo,482499.99,100000.0,45000.0,82500.0,316000.0,142000.0,308000.0,426000.0
Tajikistan,,,882000.01,952000.0,2044000.03,3836000.06,1834000.02,1619999.97
Czechia,,1023333.33,615999.98,105000.0,130000.0,,,
Eswatini,197500.0,266000.0,477500.01,112000.0,481999.99,2080000.0,838000.01,618000.01
Eritrea,,,10454000.09,7450000.0,17417999.65,7885999.92,812000.0,453333.32
Malaysia,630000.0,-48000.0,110000.0,272000.0,930000.01,711999.99,572000.0,170000.0
Pakistan,12651999.86,13560000.13,8024000.17,6488000.01,30046000.1,44520000.84,17263999.75,9902000.05
"Moldova, Republic of",,,20000.0,906666.68,2454000.0,4576000.02,5662000.04,7564000.18
Botswana,12068000.13,22242000.2,7958000.09,3284000.02,1890000.03,1286000.01,147500.0,35000.0
Suriname,10000.0,10000.0,,,30000.0,,,
Timor-Leste,,,,5310000.02,10572000.03,7976000.12,3026000.05,404000.0
Cabo Verde,756000.0,700000.01,356000.0,82000.0,24000.0,40000.0,40000.0,
El Salvador,681999.98,2428000.06,2649999.95,1851999.95,1099999.98,989999.97,1471999.98,612000.0
Saudi Arabia,,,20000.0,20000.0,35000.0,,,
Antigua and Barbuda,,,,50000.0,,,,
Kazakhstan,,,40000.0,973999.99,2082000.02,3498000.0,647500.01,10000.0
Libya,,,23333.33,10000.0,135000.0,8350000.14,1347499.99,3638000.06
Guyana,20000.0,100000.0,1659999.97,816666.65,30000.0,22896666.41,21215999.97,12596000.15
Kyrgyzstan,,,396000.0,727999.99,2883999.97,3994000.05,1395999.97,394000.0
Mongolia,,10000.0,902500.02,2398000.05,1494000.03,1316000.01,534000.0,310000.0
