Country,1989-1993,1994-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2022
Gambia,,,63333.33,180000.01,3490000.01,2617499.92,1475000.03,915000.02
"Palestine, State of",2400000.1,24202000.24,12914999.96,29322499.28,93219999.31,30617499.83,22750000.0,31792500.5
Vanuatu,,,,10000.0,23333.33,45000.0,60000.0,10000.0
Saint Kitts and Nevis,,,,,30000.0,30000.0,,
Zimbabwe,3220000.05,1598000.0,1152499.98,304999.99,4317499.92,1589999.99,242500.0,264999.99
Colombia,3504000.09,22653999.71,21807499.65,30994999.17,88510000.23,27022499.56,19090000.18,69927500.72
Albania,223333.33,352499.98,3822500.02,3735000.04,13889999.99,-3005000.0,-2657499.97,-127500.0
Maldives,,,40000.0,190000.0,,500000.0,,0.0
"Korea, Republic of",94000.0,56666.67,60000.0,70000.0,,,,
Ecuador,15770000.41,32902000.62,25135000.23,35505000.11,65794999.12,11184999.83,-1812500.04,11362499.71
Croatia,,572499.98,450000.01,639999.99,693333.33,,,
Costa Rica,2358000.0,6313999.94,8875000.06,6317500.11,9989999.89,1482499.97,-1850000.02,4412500.08
Uganda,8097999.75,1691999.94,-1872500.0,3810000.11,6072499.99,874999.98,410000.0,10057500.03
Peru,9230000.11,19350000.19,28030000.21,58867500.31,114762498.86,32980000.26,8652500.15,27624999.52
Lithuania,40000.0,32500.0,35000.0,45000.0,,,,
Paraguay,1282000.03,8752000.12,7645000.22,8747500.06,24255000.11,6795000.08,5930000.01,10650000.21
Syrian Arab Republic,194000.0,436000.01,680000.0,1257499.99,5689999.94,9135000.11,36434999.82,16080000.16
