Country,1960-1966,1967-1973,1974-1980,1981-1986,1987-1992,1993-1998,1999-2004,2005-2010,2011-2016,2017-2022
Papua New Guinea,84055002.59,142169999.17,265422858.84,283685006.35,352626665.96,329916665.34,228483335.97,328028334.13,504220002.14,625586665.82
South Sudan,,,,,,,,,1266758332.27,1595653333.31
Ecuador,14601428.41,17247142.8,29228571.66,53229999.77,161935000.45,179735000.67,170041667.13,207263333.35,197563332.64,332461665.7
Tonga,510000.0,1097142.85,8622857.17,14071666.67,19183333.51,25711666.7,18010000.08,32090000.16,59625000.56,61471666.65
Senegal,24135714.15,48274285.75,145855713.76,263599998.69,496579996.88,431076668.14,419963332.86,588978335.86,701991662.69,809463333.15
Barbados,1599999.94,2495714.27,4025714.3,5600000.03,2213333.31,6260000.05,10081666.64,7190000.19,,
Mexico,26831428.79,17345714.19,21989999.97,137663332.42,186378335.47,263470000.53,49784999.88,200913334.04,597858335.17,580021665.56
Niger,8580000.09,33694285.41,113862857.93,158934999.96,272100001.47,243091667.4,210098332.36,378471667.83,555630001.48,840361662.09
Paraguay,6929999.97,10390000.08,19685714.35,39846666.72,75083332.91,84461666.93,62138332.69,101533333.5,48208333.12,124431666.73
Bhutan,57500.0,185714.28,880000.0,5986666.72,25365000.06,50700000.13,49064999.67,58864999.81,58815000.54,48480000.27
Ethiopia,19118571.61,35215714.28,86537143.43,268226663.87,591318332.76,548353332.38,709103329.0,1765025001.67,2126990021.2,2543858348.75
"Virgin Islands, British",,15729999.9,2067142.81,1919999.98,2583333.32,3330000.01,1488333.32,,,
Bahrain,787142.85,285714.29,734285.71,890000.0,1644999.99,2853333.37,1379999.99,,,
Israel,107372856.78,83231428.77,713902857.47,1357659999.88,1478436664.71,1219456660.92,591886666.65,,,
Latvia,,,,,41844999.95,63941667.31,104439998.26,,,
Singapore,710000.0,18592856.95,9922857.06,22729999.88,26569999.66,12150000.0,3861666.8,,,
Argentina,16930000.2,4090000.01,13327142.72,32605000.26,177866664.0,124985000.19,83106666.23,96863333.57,42206666.04,40614999.51
Solomon Islands,2914285.68,8200000.05,22389999.95,20991666.67,41426666.34,39451667.13,59028334.41,231328333.87,226985000.28,177594999.49
