Country,1962-1968,1969-1974,1975-1980,1981-1986,1987-1992,1993-1998,1999-2004,2005-2010,2011-2016,2017-2022
Chad,1274000.0,2000000.0,7833333.33,8666666.67,17500000.0,8156666.68,12368333.18,91191668.19,89803332.65,76750000.64
South Sudan,,,,,,,,,463864990.87,766163330.08
Uganda,3372857.16,3333333.33,13000000.0,4166666.67,23000000.0,42958333.33,110480002.09,306508336.39,441763336.18,609483327.23
Sri Lanka,8071428.44,12833333.33,37000000.0,61500000.0,54000000.0,24566666.66,-5223333.32,39135000.23,10558333.32,23058333.24
Poland,,,,,648333333.33,159204999.92,13589999.92,,,
Singapore,65000.0,,1000000.0,,1833333.33,2000000.0,,,,
Israel,37064286.1,53166666.67,757166666.67,1313666666.67,1333500000.0,1241994995.12,632865000.41,,,
Myanmar,3120000.0,2500000.0,5500000.0,5833333.33,6000000.0,655000.0,3656666.65,28033332.9,79025000.25,154296669.01
Sao Tome and Principe,,,,1000000.0,1000000.0,838000.0,212000.0,243333.34,150000.0,30000.0
Guatemala,10774285.73,13666666.67,21166666.67,39833333.33,117333333.33,38341666.54,59920000.71,67676666.26,112366666.16,202886665.34
Bahrain,,,,,,,60000.0,,,
Argentina,16125714.2,2166666.67,-4166666.67,-1800000.0,-10000000.0,-2576666.66,1874999.99,4118333.36,3169999.94,3491666.67
Costa Rica,10229999.95,10666666.67,5166666.67,123333333.33,96666666.67,-17251666.7,-25809999.62,-4260000.12,7183333.32,20761666.93
Sierra Leone,5088571.41,3166666.67,4833333.33,9500000.0,9333333.33,10531666.6,35115000.49,19611666.84,51789999.33,56298332.85
Togo,1691428.56,1333333.33,2666666.67,7166666.67,11000000.0,3753333.33,3963333.31,3870000.0,3731666.68,7546666.54
Pakistan,309181427.0,149000000.0,99333333.33,114666666.67,168666666.67,-49790000.28,221206668.85,566413324.99,756783325.2,332788332.62
Senegal,3435714.27,4166666.67,16666666.67,45166666.67,39500000.0,30190000.06,34975000.06,60506666.82,184128331.5,167491668.7
Seychelles,40000.0,,1000000.0,2500000.0,3500000.0,1065000.0,70000.0,48333.33,76000.0,
Bulgaria,,,,,28000000.0,9226666.69,54531667.07,,,
Ethiopia,15267143.11,18500000.0,17833333.33,43666666.67,49500000.0,81038333.26,238019995.37,606026662.19,719603352.86,1044966674.8
Antigua and Barbuda,,,,2000000.0,1500000.0,230000.0,43333.33,-136666.67,-69999.99,-15000.0
Grenada,,,,18333333.33,3000000.0,140000.0,173333.33,1523333.35,255000.0,-10000.0
