Country,1970-1978,1979-1987,1988-1996,1997-2005,2006-2014,2015-2022
Central African Republic,3469187.47,14759368.32,19932465.24,-869702.31,15425132.34,8339893.66
Eritrea,,,4954906.43,22220730.58,797611.04,-13387375.45
Guinea,40686330.8,15584545.82,33874040.62,-11573759.22,58873545.96,123020988.62
Angola,,,44548911.95,-250733247.02,451698341.22,-143363815.2
Panama,21247270.92,27878529.7,-27872729.28,-20326337.9,10915094.06,-16991112.08
Papua New Guinea,3617436.42,14917004.7,32943503.78,-11183904.39,-8480329.19,355526012.76
Vanuatu,,319965.56,1217258.14,-293294.59,4996269.5,27423189.25
Georgia,,,24441845.8,-17343213.67,14889505.82,109319366.74
Yemen,50957947.39,190619253.54,23003754.38,-179471.81,102326708.12,-7266206.92
Sierra Leone,6807795.18,10868915.72,15255.12,-1406464.24,11769682.1,12336952.91
Guyana,19164469.8,19426898.74,2982314.03,2713237.14,77064881.54,49981612.06
Benin,10262011.01,19691152.68,16877901.31,-1012533.9,24215128.22,51483354.49
Lao People's Democratic Republic,15623291.63,72861094.9,38130837.66,25419280.61,292165925.42,417469767.4
Turkmenistan,,,34730047.38,59182738.47,687713887.19,-571147705.96
Haiti,10371800.82,11026432.27,845747.4,-2695016.78,208012305.68,36984875.0
Nicaragua,19286955.81,334903461.84,194210019.48,-3051242.28,5823628.81,6992729.11
Sudan,138463169.73,258105029.3,107901294.7,28440364.16,250721135.14,54812400.09
Kenya,42239805.19,106893209.54,98002139.26,-39283908.66,246408661.98,806325155.49
Senegal,14329713.01,122017620.63,51580799.1,-19320641.62,98159170.26,238683428.88
Sao Tome and Principe,3604510.4,4857261.36,1135115.41,199217.33,15135868.56,4105295.25
Botswana,14295922.78,10413189.56,2770244.87,-3894004.93,-8904006.8,-8725601.66
Comoros,1497921.32,7595821.5,2152410.92,-238802.1,,20098798.49
Türkiye,149132313.89,237595245.42,-210805990.8,-208500856.43,93454140.48,186661336.84
Romania,12970694.05,43233222.44,9151310.69,-92209597.93,4256846.09,-31520425.5
Tunisia,89460900.72,138837858.04,25619112.66,-13082873.49,75304378.29,201135548.44
Congo,25862700.16,65443440.68,19623680.66,57537.74,279417127.56,3815856.31
Malawi,23339165.31,16636196.07,7927331.88,-3344415.14,39496689.34,2745241.6
Mongolia,,,33155067.18,-8400438.39,92901157.11,224617923.98
Saint Vincent and the Grenadines,547562.12,536053.54,2204750.86,448585.72,-991510.89,5149517.6
