Country,1977-1980,1981-1984,1985-1988,1989-1992,1993-1996,1997-2000,2001-2004,2005-2008,2009-2012,2013-2016,2017-2019,2020-2022
Saint Lucia,,1886276.35,3004945.65,6000178.45,4789528.68,3741149.18,6624346.68,-3163238.35,1428233.45,-4470434.95,1009740.57,17200143.0
Suriname,,,,,,,,,,35231910.5,-1355184.43,16092739.4
Sri Lanka,4652568.83,8883396.88,4141494.18,-607689.7,-49420.85,2170331.4,13184252.95,36641343.52,20207613.42,27046964.08,4900763.07,-12458544.17
Burkina Faso,7213796.3,11840232.8,9917754.1,11677502.85,223973.35,2574891.2,9998729.55,29822764.22,45646846.28,20312252.23,68013429.07,130426842.67
Mexico,,,,,,,,,-511355.5,,32850000.0,44203000.0
Mali,5863675.05,17896866.52,6967518.2,5161771.05,205680.02,10262753.35,11118049.32,20740079.95,51468694.25,35830404.75,34480342.43,128024807.87
Rwanda,3777319.55,2774612.5,7738772.22,4789581.82,2366426.85,1612652.78,-2961594.52,4197497.58,12858055.03,12849184.55,20783769.0,24245034.97
Kazakhstan,,,,,-784860.8,21203249.2,-231399.18,-13646501.87,36432680.08,-7846270.2,-10216590.9,-4915827.33
Grenada,1209500.0,3180327.65,2739056.98,2306165.42,926638.05,1783376.78,3968935.8,13958513.6,3851606.45,8166295.48,-6463287.8,-394601.73
Mauritania,12673629.02,29362996.72,12453774.5,9587941.8,14709314.58,-2297836.0,25253235.72,73784296.5,125206261.1,139479790.25,41662504.07,-46121242.7
Mozambique,,3861000.0,-801088.12,667699.92,4748159.48,12732430.22,22074740.28,15447975.7,41100079.85,3859353.35,10979631.63,17995823.0
Côte d'Ivoire,19483467.08,19759471.93,-3977677.12,-6383074.75,2002858.1,6547033.5,-1414881.48,5893538.22,55633521.58,46180190.6,165119943.77,271912370.43
Congo,7900282.15,29076952.8,3919467.27,-11481786.72,-7855657.5,-764175.23,-194893.07,1230600.8,-5166416.15,9757092.6,63039891.93,-29717044.67
Colombia,2457000.0,3976750.0,-3817750.0,-4369666.67,14250000.0,91470500.0,217015750.0,-119872500.0,-71540740.0,123218201.35,83849171.1,476821556.53
Kyrgyzstan,,,,,-479382.17,5365341.1,4511653.47,2275630.18,5192957.4,8909668.05,16009335.37,43417504.3
Indonesia,,5461667.85,11887783.28,33233462.48,20380033.45,13059405.82,-32335378.72,-12557883.23,-432871.45,23691899.58,131760759.93,35531296.77
India,25442250.0,31938556.65,32700546.48,5633297.68,-900569.8,28246804.25,-6508108.2,11465910.0,63874434.1,12715753.23,296508830.7,1320675351.63
Senegal,9070440.85,29704902.58,19585769.53,5040904.58,-9200979.33,5149103.45,11833803.98,58891807.38,50021762.0,52386956.65,119139245.47,109827166.03
Madagascar,4174396.12,14382595.72,13799556.82,5898250.32,3496074.98,1051215.8,8764673.1,4806019.22,13334485.15,9411849.07,47330068.47,76119160.93
Ethiopia,2519333.33,3464572.2,15113895.1,9474156.7,145770.43,5095861.75,16574130.48,44797627.25,19934196.05,18248585.25,61297673.53,30161180.57
Togo,9679618.48,2996618.3,3196881.22,-563806.72,1103125.15,1327746.22,4817539.23,6924296.28,11282941.35,61017817.75,22665758.7,-1074135.97
"Iran, Islamic Republic of",,,,2422500.0,35795750.0,-30604000.0,665666.67,-3982500.0,,,,
Yemen,24286562.78,46815043.42,19789036.72,-6492659.92,21849670.05,-2723384.1,2541819.45,103075571.35,91025727.18,60948725.32,29648977.97,20069096.7
Bangladesh,24748863.45,41491433.12,15603948.52,-8666153.62,8904238.52,17689413.45,17754057.95,2244872.15,34765753.1,124716610.55,79717312.37,161014797.17
Saint Vincent and the Grenadines,1271244.12,4078560.0,2891265.78,2993570.9,-14161.82,3873050.0,454268.23,12118844.08,9017601.45,-5016878.8,-2538345.87,13994602.4
Uganda,1888230.3,12102803.22,11019674.18,6667567.6,210991.95,-1581502.93,8783956.62,11329165.6,4944906.7,44316210.68,96663047.83,359432421.47
