Country,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Zambia,,,2.78,6.11,7.62,8.17,8.98
Uruguay,7.57,2.14,1.67,2.55,3.3,1.67,5.78
El Salvador,4.31,3.82,3.01,2.04,-0.92,-1.56,4.73
Portugal,,,,,,,
Côte d'Ivoire,1.58,0.87,0.48,2.66,2.96,3.66,6.68
Madagascar,4.62,3.43,2.02,0.71,2.17,1.78,5.23
Malaysia,4.6,2.46,5.52,4.44,3.28,3.37,6.04
Kiribati,,,,-2.9,-1.82,-0.39,-0.63
Egypt,15.89,8.55,9.61,10.94,,,
Zimbabwe,,,,,7.86,7.93,
Romania,,,,,,,
San Marino,3.03,8.46,,,,,
"Iran, Islamic Republic of",0.96,0.42,,,,,
Myanmar,2.32,1.48,,2.13,3.08,2.03,
Serbia,,-1.18,2.03,5.82,,,
Morocco,1.13,1.43,1.66,6.07,,3.25,5.85
Russian Federation,-3.41,-2.16,1.24,1.23,1.17,2.2,2.98
Bahamas,2.16,2.09,3.18,4.11,3.84,4.14,9.44
Mali,2.0,2.58,1.14,1.05,3.24,3.0,5.17
Ethiopia,5.91,16.22,14.74,8.46,4.52,4.28,4.51
Italy,,,,,,,
Singapore,7.33,7.16,9.96,4.83,7.65,11.68,9.78
