Country,1990-1994,1995-1999,2000-2004,2005-2008,2009-2012,2013-2016
Tonga,,,,,,6.65
United Kingdom,1.15,1.27,1.07,1.74,1.84,1.65
Malaysia,,3.91,7.42,5.81,5.74,3.59
Zambia,,6.74,2.76,2.84,2.67,2.74
Serbia,,,,2.24,1.58,
Côte d'Ivoire,,,1.93,1.86,2.2,3.31
Cyprus,4.93,6.42,5.14,4.35,3.01,1.45
Trinidad and Tobago,,,1.35,4.01,4.21,3.49
Belarus,5.24,4.4,2.22,3.08,1.49,1.0
Belize,8.69,4.31,6.86,3.04,3.23,5.49
Mongolia,2.57,2.24,4.53,9.66,6.94,5.84
Lebanon,,5.91,3.17,2.31,1.77,1.9
Maldives,19.43,14.13,8.84,7.84,7.63,
Mali,,,7.72,8.7,6.06,6.17
Pakistan,,2.59,1.22,1.96,1.63,
Papua New Guinea,3.06,1.87,1.63,,,3.65
Egypt,2.31,4.03,4.57,3.32,3.31,2.38
Liberia,,,,0.97,1.92,0.78
Singapore,-3.08,-3.2,0.24,-1.96,-2.53,-2.14
Macao,,2.45,2.67,3.23,3.03,1.9
Slovenia,1.76,2.69,2.25,2.62,2.41,2.33
